wav_path,spec_path,speaker_id,ethnicity,age_group,sex,intent,sentence_id,suffix
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n01.npy,1893,white,older,female,neutral,1,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n02.npy,1893,white,older,female,neutral,2,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n03.npy,1893,white,older,female,neutral,3,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n04cc.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n04cc.npy,1893,white,older,female,neutral,4,cc
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n05.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n05.npy,1893,white,older,female,neutral,5,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n06c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n06c.npy,1893,white,older,female,neutral,6,c
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t01.npy,1893,white,older,female,trustworthy,1,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t02.npy,1893,white,older,female,trustworthy,2,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t03.npy,1893,white,older,female,trustworthy,3,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t04.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t04.npy,1893,white,older,female,trustworthy,4,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t05.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t05.npy,1893,white,older,female,trustworthy,5,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t06.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t06.npy,1893,white,older,female,trustworthy,6,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n01.npy,1896,south_asian,younger,female,neutral,1,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n02.npy,1896,south_asian,younger,female,neutral,2,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n03.npy,1896,south_asian,younger,female,neutral,3,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n04.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n04.npy,1896,south_asian,younger,female,neutral,4,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n05c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n05c.npy,1896,south_asian,younger,female,neutral,5,c
