wav_path,spec_path,speaker_id,ethnicity,age_group,sex,intent,sentence_id,suffix,duration_sec,f0_mean_hz,f0_std_hz,hnr_mean_db
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n01.npy,1893,white,older,female,neutral,1,,1.912520833,173.9024263,22.33292223,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n02.npy,1893,white,older,female,neutral,2,,1.711166667,160.2624799,21.71131341,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n03.npy,1893,white,older,female,neutral,3,,1.484270833,163.5439358,33.2999551,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n04cc.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n04cc.npy,1893,white,older,female,neutral,4,cc,1.295458333,141.3428175,13.84635501,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n05.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n05.npy,1893,white,older,female,neutral,5,,1.441208333,167.7171408,43.95476084,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n06c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n06c.npy,1893,white,older,female,neutral,6,c,1.253770833,151.3989934,14.00134971,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t01.npy,1893,white,older,female,trustworthy,1,,1.54,180.0368307,29.28379604,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t02.npy,1893,white,older,female,trustworthy,2,,1.393333333,200.12649,50.17815902,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t03.npy,1893,white,older,female,trustworthy,3,,1.433708333,178.7620387,32.12504378,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t04.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t04.npy,1893,white,older,female,trustworthy,4,,1.423375,163.0251339,27.07196776,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t05.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t05.npy,1893,white,older,female,trustworthy,5,,1.262541667,195.8722341,37.91868547,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t06.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t06.npy,1893,white,older,female,trustworthy,6,,1.4951875,193.348654,24.56182855,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n01.npy,1896,south_asian,younger,female,neutral,1,,1.793,212.5012539,30.00136964,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n02.npy,1896,south_asian,younger,female,neutral,2,,2.1825,226.6945394,46.10778409,
