wav_path,spec_path,speaker_id,ethnicity,age_group,sex,intent,sentence_id,suffix,duration_sec,f0_mean_hz,f0_std_hz,hnr_mean_db,jitter_local,cpp_mean_db
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n01.npy,1893,white,older,female,neutral,1,,1.9125208333333332,178.90797623864668,47.25518432689915,11.53742193538636,0.021282968636851505,11.53742193538636
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n02.npy,1893,white,older,female,neutral,2,,1.7111666666666667,160.27285077149727,21.788926171902794,14.083007793243187,0.015239340403238617,14.083007793243187
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n03.npy,1893,white,older,female,neutral,3,,1.4842708333333334,163.54393578988646,33.299955101950715,13.355818974739764,0.01825371665104859,13.355818974739764
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n04cc.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n04cc.npy,1893,white,older,female,neutral,4,cc,1.2954583333333334,141.34281754872876,13.84635500654636,12.916838227225579,0.01388449882367306,12.916838227225579
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n05.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n05.npy,1893,white,older,female,neutral,5,,1.4412083333333334,167.71714081662884,43.95476084046537,8.829787045051235,0.0377372105858809,8.829787045051235
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_n06c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_n06c.npy,1893,white,older,female,neutral,6,c,1.2537708333333333,151.39899335627058,14.001349711914374,12.054281031006834,0.023265187104047125,12.054281031006834
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t01.npy,1893,white,older,female,trustworthy,1,,1.54,180.03683068848002,29.283796043084827,10.581107451783046,0.025259954796611556,10.581107451783046
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t02.npy,1893,white,older,female,trustworthy,2,,1.3933333333333333,206.91136100198747,76.56767406476335,11.608399215426846,0.028320508698476986,11.608399215426846
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t03.npy,1893,white,older,female,trustworthy,3,,1.4337083333333334,178.76203869252652,32.125043782690824,11.531073717274921,0.020890030121034436,11.531073717274921
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t04.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t04.npy,1893,white,older,female,trustworthy,4,,1.423375,163.02513388595412,27.07196776083665,11.914940669095419,0.020025534107858334,11.914940669095419
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t05.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t05.npy,1893,white,older,female,trustworthy,5,,1.2625416666666667,195.87223406643596,37.918685466867046,10.283277395998002,0.030938057747674087,10.283277395998002
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1893_wof_t06.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1893_wof_t06.npy,1893,white,older,female,trustworthy,6,,1.4951875,193.3486540411806,24.56182855417573,13.131758837985535,0.021797246805147368,13.131758837985535
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n01.npy,1896,south_asian,younger,female,neutral,1,,1.793,212.5012539339003,30.001369642689784,16.726222117381646,0.019532069234651755,16.726222117381646
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n02.npy,1896,south_asian,younger,female,neutral,2,,2.1825,226.69453937713257,46.107784092069046,18.454564879959356,0.019095256852723765,18.454564879959356
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n03.npy,1896,south_asian,younger,female,neutral,3,,1.8604791666666667,214.0805193687971,32.485040325227615,13.78150964535303,0.02174746162965403,13.78150964535303
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n04.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n04.npy,1896,south_asian,younger,female,neutral,4,,2.0929583333333333,211.4885550080951,69.37465425216709,14.970398177925896,0.025661621912797063,14.970398177925896
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n05c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n05c.npy,1896,south_asian,younger,female,neutral,5,c,1.5728958333333334,199.17865945009186,34.98245547482583,14.890664669713589,0.028828708637196544,14.890664669713589
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n06c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n06c.npy,1896,south_asian,younger,female,neutral,6,c,1.3697916666666667,214.51668113622569,41.457831817982495,14.23615725934783,0.022717413432928133,14.23615725934783
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_t01c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_t01c.npy,1896,south_asian,younger,female,trustworthy,1,c,1.8813125,241.28791693268823,46.39975018451759,14.946508170243364,0.02531522390330582,14.946508170243364
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_t02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_t02.npy,1896,south_asian,younger,female,trustworthy,2,,1.45175,243.7567674736024,68.78294896438905,15.192913594776162,0.028649394003892593,15.192913594776162
