,Homo,Bacillus,Lactobacillus,Rathayibacter,Halomonas,Pasteurella,Vibrio,Paracoccus,Rhodobaca,Fusobacterium,Orthobunyavirus,Pseudomonas,Bartonella,Desulfobacter,Pseudopedobacter,Ignavibacterium,Hydrogenophilus,Pseudoclostridium,Corynebacterium
SRR6939924,,,,,,,,,,,,,,,,,,,
SRR6939925,0.999686453,5.71E-05,4.88E-07,4.88E-07,8.79E-06,7.33E-06,4.88E-07,4.88E-07,4.88E-07,4.88E-07,0.000237358,0,0,0,0,0,0,0,0
SRR6939926,,,,,,,,,,,,,,,,,,,
SRR6939927,0.999879372,4.60E-05,2.07E-06,0,5.68E-06,1.29E-06,0,2.58E-07,0,1.29E-06,6.25E-05,2.58E-07,2.58E-07,5.17E-07,2.58E-07,2.58E-07,0,0,0
SRR6939928,,,,,,,,,,,,,,,,,,,
SRR6939929,0.999964981,0,0,3.21E-05,0,2.92E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6939930,,,,,,,,,,,,,,,,,,,
SRR6939931,0.999995392,0,0,0,0,4.61E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6939932,,,,,,,,,,,,,,,,,,,
SRR6939933,0.999989498,0,0,6.30E-06,0,0,0,0,0,0,0,0,4.20E-06,0,0,0,0,0,0
SRR6939934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6939935,0.999993423,0,0,5.26E-06,0,0,0,0,0,0,0,0,0,0,0,0,1.32E-06,0,0
SRR6939936,,,,,,,,,,,,,,,,,,,
SRR6939937,0.999966037,0,0,1.27E-05,2.12E-06,0,0,0,0,0,4.25E-06,0,1.27E-05,0,0,0,0,2.12E-06,0
SRR6939938,,,,,,,,,,,,,,,,,,,
SRR6939939,0.999991923,0,0,0,0,0,0,0,0,0,0,0,0,8.08E-06,0,0,0,0,0
SRR6939940,,,,,,,,,,,,,,,,,,,
SRR6939941,0.999971652,0,0,1.35E-06,0,0,0,0,0,0,1.35E-06,0,1.89E-05,0,0,0,2.70E-06,0,4.05E-06
SRR6939942,,,,,,,,,,,,,,,,,,,
SRR6939943,0.999990855,3.05E-06,0,6.10E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR6939944,,,,,,,,,,,,,,,,,,,
SRR6939945,0.99999714,0,0,2.86E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
