Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain
SRR34777669,AMPLICON,501,78481822,PRJNA1298576,SAMN50279954,Metagenome or environmental,50516234,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/9/2024,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX29911064,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK5f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy5,tissue sample,SRP604594,not applicable
SRR34777670,AMPLICON,501,112182444,PRJNA1298576,SAMN50279953,Metagenome or environmental,69502333,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/8/2024,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX29911063,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK4f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:16:00Z,1,PBiopsy4,tissue sample,SRP604594,not applicable
SRR34777671,AMPLICON,501,32280191,PRJNA1298576,SAMN50279980,Metagenome or environmental,20769318,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",4/4/2024,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX29911062,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK42f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:16:00Z,1,PBiopsy31,tissue sample,SRP604594,not applicable
SRR34777672,AMPLICON,501,20186852,PRJNA1298576,SAMN50279979,Metagenome or environmental,13263857,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",4/3/2024,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX29911061,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK41f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:16:00Z,1,PBiopsy30,tissue sample,SRP604594,not applicable
SRR34777673,AMPLICON,501,29021191,PRJNA1298576,SAMN50279978,Metagenome or environmental,18702866,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",4/2/2024,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX29911060,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK40f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:16:00Z,1,PBiopsy29,tissue sample,SRP604594,not applicable
SRR34777674,AMPLICON,501,24689922,PRJNA1298576,SAMN50279977,Metagenome or environmental,15629306,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",4/1/2024,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX29911059,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK39f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:16:00Z,1,PBiopsy28,tissue sample,SRP604594,not applicable
SRR34777675,AMPLICON,501,23601613,PRJNA1298576,SAMN50279976,Metagenome or environmental,15325804,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/31/2024,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX29911058,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK38f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy27,tissue sample,SRP604594,not applicable
SRR34777676,AMPLICON,501,24881286,PRJNA1298576,SAMN50279975,Metagenome or environmental,16047089,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/30/2024,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX29911057,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK37f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy26,tissue sample,SRP604594,not applicable
SRR34777677,AMPLICON,501,15878428,PRJNA1298576,SAMN50279973,Metagenome or environmental,10351949,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/28/2024,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX29911056,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK35f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy24,tissue sample,SRP604594,not applicable
SRR34777678,AMPLICON,501,30184335,PRJNA1298576,SAMN50279974,Metagenome or environmental,19850927,"CHARLES UNIVERSITY, SCHOOL OF MEDICINE IN HRADEC KRALOVE",3/29/2024,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX29911055,Czech Republic,Europe,Czech Republic: Hradec Kralove,Homo sapiens,Illumina MiSeq,not applicable,prostate tissue,missing,HK36f,PAIRED,DNase,GENOMIC,human metagenome,ILLUMINA,2025-07-30T00:00:00Z,2025-07-30T11:17:00Z,1,PBiopsy25,tissue sample,SRP604594,not applicable
