Rank,Genus,Composite_Score,Primary_Cancer_Assoc,DA_Significance,SHAP_Rank,Known_Biological_Role
1,Mahella,0.7,Unassigned,Cross-cancer p<0.05,1,Novel candidate — literature review needed
2,Lysinibacillus,0.589,Unassigned,Cross-cancer p<0.05,3,Novel candidate — literature review needed
3,Frankia,0.58,Unassigned,Cross-cancer p<0.05,2,Novel candidate — literature review needed
4,Bacteroides,0.5,Breast,Breast p<0.05; Cross-cancer p<0.05,251,"Commensal with complex roles; some species protective, others oncogenic"
5,Corynebacterium,0.435,Unassigned,Cross-cancer p<0.05,5,Skin commensal; elevated in some prostate cancer studies
6,Ezakiella,0.432,Unassigned,Cross-cancer p<0.05,4,Novel candidate — literature review needed
7,Syntrophomonas,0.386,Unassigned,Cross-cancer p<0.05,6,Novel candidate — literature review needed
8,Lachnospira,0.366,Unassigned,Cross-cancer p<0.05,14,Novel candidate — literature review needed
9,Synechococcus,0.351,Unassigned,Cross-cancer p<0.05,9,Novel candidate — literature review needed
10,Listeria,0.335,Unassigned,Cross-cancer p<0.05,12,Novel candidate — literature review needed
11,Nitrosomonas,0.333,Unassigned,Cross-cancer p<0.05,7,Novel candidate — literature review needed
12,Streptomyces,0.33,Unassigned,Cross-cancer p<0.05,8,Novel candidate — literature review needed
13,Geobacillus,0.326,Unassigned,Cross-cancer p<0.05,11,Novel candidate — literature review needed
14,Caldicellulosiruptor,0.311,Unassigned,Cross-cancer p<0.05,13,Novel candidate — literature review needed
15,Dorea,0.31,Unassigned,Cross-cancer p<0.05,29,Novel candidate — literature review needed
