genus,U_stat,p_value,log2_fold_change,median_cancer,median_healthy,adjusted_p,direction
Bacteroides,15360.0,3.525644604134447e-05,1.262814753754797,0.032486856,0.013538251000000001,0.009131419524708216,enriched
Shigella,14321.5,0.0030721591348699243,1.1343469210705364,0.000116016,5.285e-05,0.3978446079656552,enriched
Pantoea,13754.5,0.014083931403207857,0.0,0.0,0.0,0.5285775983353488,depleted
Pragia,13637.0,0.01428588103609051,0.0,0.0,0.0,0.5285775983353488,depleted
Ichthyobacterium,13640.0,0.012456637879873217,0.0,0.0,0.0,0.5285775983353488,depleted
Candidatus Tachikawaea,13621.5,0.01389442833622663,0.0,0.0,0.0,0.5285775983353488,depleted
Yersinia,13943.0,0.011692469177325074,1.0792615954484983,9.54e-05,4.515e-05,0.5285775983353488,enriched
Morganella,13528.0,0.024279094527568268,0.0,0.0,0.0,0.7860356853300227,depleted
Xanthomonas,10727.0,0.9971614514750838,0.0,0.0,0.0,1.0,depleted
Weissella,11402.0,0.836991214690845,0.053706055337219415,5.61e-05,5.405e-05,1.0,enriched
Wansuia,,1.0,0.0,0.0,0.0,1.0,depleted
Virgibacillus,10737.0,0.9901303476591128,0.0,0.0,0.0,1.0,depleted
Vibrio,11501.0,0.8299751340728123,0.0,0.0,0.0,1.0,depleted
Vescimonas,,1.0,0.0,0.0,0.0,1.0,depleted
Veillonella,11849.0,0.6550521724471307,-0.7609500538050679,6.62e-05,0.00011218299999999999,1.0,depleted
Vagococcus,12435.0,0.2738337291650582,0.0,0.0,0.0,1.0,depleted
Ureaplasma,11281.5,0.945118334228421,0.0,0.0,0.0,1.0,depleted
Turicibacter,10498.0,0.9903156979941297,0.0,0.0,0.0,1.0,depleted
Trichodesmium,9515.0,0.9998179003565929,-19.541325422314568,0.0,7.630000000000001e-05,1.0,depleted
Treponema,12429.0,0.3452555750251997,0.0,0.0,0.0,1.0,depleted
Tistrella,11279.0,0.9580081502578927,0.0,0.0,0.0,1.0,depleted
Thomasclavelia,,1.0,0.0,0.0,0.0,1.0,depleted
Thiomonas,12570.5,0.2616912945620644,0.0,0.0,0.0,1.0,depleted
Anaerobutyricum,,1.0,0.0,0.0,0.0,1.0,depleted
Aminobacterium,11673.0,0.7632096564096762,0.0,0.0,0.0,1.0,depleted
Alpha3microvirus,11814.5,0.7208250386199642,0.0,0.0,0.0,1.0,depleted
Alkalitalea,11946.5,0.6689541455777243,0.0,0.0,0.0,1.0,depleted
Alistipes,13347.0,0.069837754840679,0.8062784509123545,0.000788351,0.0004508225,1.0,enriched
Alicyclobacillus,11861.5,0.7027665245397292,0.0,0.0,0.0,1.0,depleted
Akkermansia,11712.5,0.7145838548161897,-0.029713271125097782,8.65e-05,8.83e-05,1.0,depleted
Aggregatibacter,10420.0,0.993583740392707,0.0,0.0,0.0,1.0,depleted
Agathobacter,,1.0,0.0,0.0,0.0,1.0,depleted
Actinomyces,10867.5,0.9545875322196083,-1.1943758136501612,3.64e-05,8.329999999999999e-05,1.0,depleted
Actinobacillus,11300.0,0.9255122080242044,0.0,0.0,0.0,1.0,depleted
Acinetobacter,13328.0,0.07153236131306395,0.6785504200643167,0.000129483,8.09e-05,1.0,enriched
Acidihalobacter,10348.0,0.9991065195036914,0.0,0.0,0.0,1.0,depleted
Acidiferrobacter,11342.5,0.861112338287173,-18.276401610235848,0.0,3.175e-05,1.0,depleted
Acidaminococcus,12540.0,0.31799544614200853,-0.17495294957730506,0.000351453,0.000396765,1.0,depleted
[Clostridium],,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Moranella,11268.5,0.9420626402312743,0.0,0.0,0.0,1.0,depleted
Candidatus Koribacter,11528.0,0.8496503396504836,0.0,0.0,0.0,1.0,depleted
Candidatus Izimaplasma,9155.0,0.9999533293990086,-21.66440474836212,0.0,0.0003323805,1.0,depleted
Candidatus Hamiltonella,12857.5,0.1401251604022854,0.0,0.0,0.0,1.0,depleted
Candidatus Fukatsuia,13292.5,0.035271036033956565,0.0,0.0,0.0,1.0,depleted
Candidatus Cardinium,11890.5,0.6655225095294729,0.0,0.0,0.0,1.0,depleted
Candidatus Blochmannia,11160.0,0.9087829478809406,-18.685176528364146,0.0,4.215e-05,1.0,depleted
Candidatus Azobacteroides,11031.5,0.9418734419282138,0.0,0.0,0.0,1.0,depleted
Candidatus Amoebophilus,9610.5,0.9996515544303705,-19.026482918023216,0.0,5.34e-05,1.0,depleted
Candidatus,,1.0,0.0,0.0,0.0,1.0,depleted
Campylobacter,12026.0,0.5960620945308789,0.0,0.0,0.0,1.0,depleted
Caldicellulosiruptor,12213.0,0.45709222110138975,0.0,0.0,0.0,1.0,depleted
Butyrivibrio,9633.5,0.9991524944511717,-1.749742949061819,0.000480538,0.001616043,1.0,depleted
Burkholderia,12803.0,0.13491132733067168,0.0,0.0,0.0,1.0,depleted
Brochothrix,11622.0,0.7871184274525678,0.0,0.0,0.0,1.0,depleted
Blautia,11435.5,0.8163056501372582,-0.40153184752514753,0.000356125,0.000470409,1.0,depleted
Chordicoccus,,1.0,0.0,0.0,0.0,1.0,depleted
Chloroflexus,11872.5,0.6809476994699566,0.0,0.0,0.0,1.0,depleted
Chlamydia,12080.5,0.5439792994830893,0.0,0.0,0.0,1.0,depleted
Chakrabartyella,,1.0,0.0,0.0,0.0,1.0,depleted
Cellulosilyticum,10454.5,0.9842080490285773,-0.6821634884553999,8.13e-05,0.0001304495,1.0,depleted
Cellulomonas,12125.0,0.6229987139199853,0.0,0.0,0.0,1.0,depleted
Caulobacter,12326.5,0.37634816997655746,0.0,0.0,0.0,1.0,depleted
Capnocytophaga,11493.0,0.9083433743543086,0.0,0.0,0.0,1.0,depleted
Candidatus Sulcia,11729.0,0.7050085781959711,-0.5466812090352269,0.000100578,0.0001469165,1.0,depleted
Candidatus Solibacter,11380.0,0.8536972669134499,0.0,0.0,0.0,1.0,depleted
Candidatus Purcelliella,12822.0,0.1420558742930778,0.0,0.0,0.0,1.0,depleted
Candidatus Promineofilum,10845.5,0.9599724040021661,-19.05457517295423,0.0,5.4449999999999995e-05,1.0,depleted
Candidatus Phytoplasma,10509.0,0.9933568684657964,0.0,0.0,0.0,1.0,depleted
Candidatus Phaeomarinobacter,10159.0,0.9956211295757376,-19.186165030955525,0.0,5.965e-05,1.0,depleted
Candidatus Nucleicultrix,12048.0,0.5784624255213928,0.0,0.0,0.0,1.0,depleted
Desulfofarcimen,10265.0,0.9980087153757234,0.0,0.0,0.0,1.0,depleted
Desulfococcus,11729.0,0.8070653454085459,0.0,0.0,0.0,1.0,depleted
Deinococcus,11475.5,0.8645681962794263,0.0,0.0,0.0,1.0,depleted
Dehalococcoides,8136.0,0.9999997310269315,-1.662158111656819,0.000329761,0.0010436595,1.0,depleted
Dehalobacterium,9949.5,0.9986208726392752,-18.62578374370086,0.0,4.045e-05,1.0,depleted
Corynebacterium,11935.5,0.6124371380451068,0.45753249597170303,7.12e-05,5.185e-05,1.0,enriched
