genus,U_stat,p_value,log2_fold_change,median_cancer,median_healthy,adjusted_p,direction
Lactobacillus,9781.0,0.001700206404159352,0.0,0.0,0.0,0.44035345867727216,depleted
Yersinia,8898.0,0.5233881031893963,0.0,0.0,0.0,1.0,depleted
Xanthomonas,8597.5,0.8037864219391113,0.0,0.0,0.0,1.0,depleted
Weissella,8733.0,0.945819036094914,0.0,0.0,0.0,1.0,depleted
Wansuia,9098.5,0.36212633070165184,0.0,0.0,0.0,1.0,depleted
Virgibacillus,8867.0,0.6709783995324287,0.0,0.0,0.0,1.0,depleted
Vibrio,8728.5,0.6893823662636485,0.0,0.0,0.0,1.0,depleted
Vescimonas,8391.5,0.7986836346003663,-0.4559629970928705,0.0053,0.00727,1.0,depleted
Veillonella,8804.5,0.8036334505686047,0.0,0.0,0.0,1.0,depleted
Vagococcus,8733.0,0.9458157224272733,0.0,0.0,0.0,1.0,depleted
Ureaplasma,,1.0,0.0,0.0,0.0,1.0,depleted
Turicibacter,8929.0,0.45354761356546397,0.0,0.0,0.0,1.0,depleted
Trichodesmium,,1.0,0.0,0.0,0.0,1.0,depleted
Treponema,8752.0,0.8290075702732992,0.0,0.0,0.0,1.0,depleted
Tistrella,8077.0,0.9875879200465405,0.0,0.0,0.0,1.0,depleted
Thomasclavelia,9368.5,0.23365759000176645,0.1475571668350892,0.00072,0.00065,1.0,enriched
Thiomonas,,1.0,0.0,0.0,0.0,1.0,depleted
Anaerobutyricum,9374.5,0.23514395734617333,0.31680947963706596,0.04783,0.0384,1.0,enriched
Aminobacterium,,1.0,0.0,0.0,0.0,1.0,depleted
Alpha3microvirus,,1.0,0.0,0.0,0.0,1.0,depleted
Alkalitalea,8929.0,0.45354761356546397,0.0,0.0,0.0,1.0,depleted
Alistipes,8478.0,0.7573355913257112,-0.1769629505345857,0.01954,0.02209,1.0,depleted
Alicyclobacillus,8711.0,0.8195378107993999,0.0,0.0,0.0,1.0,depleted
Akkermansia,9139.0,0.36264486244537697,0.04287180677097252,0.00888,0.00862,1.0,enriched
Aggregatibacter,8856.0,0.8234276509110054,0.0,0.0,0.0,1.0,depleted
Agathobacter,9484.5,0.1648461028444172,0.0,0.0,0.0,1.0,depleted
Actinomyces,8940.5,0.4327301387353009,0.0,0.0,0.0,1.0,depleted
Actinobacillus,8879.0,0.6037878359398972,0.0,0.0,0.0,1.0,depleted
Acinetobacter,8898.5,0.5393580491329907,0.0,0.0,0.0,1.0,depleted
Acidihalobacter,,1.0,0.0,0.0,0.0,1.0,depleted
Acidiferrobacter,8867.5,0.6694080153325566,0.0,0.0,0.0,1.0,depleted
Acidaminococcus,9576.0,0.06434159844066732,0.0,0.0,0.0,1.0,depleted
[Clostridium],9223.0,0.31335534169062973,-0.06608918036429186,0.00064,0.00067,1.0,depleted
Candidatus Moranella,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Koribacter,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Izimaplasma,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Hamiltonella,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Fukatsuia,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Cardinium,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Blochmannia,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Azobacteroides,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Amoebophilus,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus,8691.5,0.6660624940269653,0.0,0.0,0.0,1.0,depleted
Campylobacter,8910.0,0.5146812179191242,0.0,0.0,0.0,1.0,depleted
Caldicellulosiruptor,,1.0,0.0,0.0,0.0,1.0,depleted
Butyrivibrio,8204.5,0.8977140210769273,0.0,0.0,0.0,1.0,depleted
Burkholderia,8881.0,0.5985783071314383,0.0,0.0,0.0,1.0,depleted
Brochothrix,,1.0,0.0,0.0,0.0,1.0,depleted
Blautia,9842.0,0.07196161951865483,0.08620103494480007,0.085,0.08007,1.0,enriched
Chordicoccus,8210.5,0.8701303742627171,-0.40008712179197814,0.00097,0.00128,1.0,depleted
Chloroflexus,8856.0,0.8234276509110054,0.0,0.0,0.0,1.0,depleted
Chlamydia,,1.0,0.0,0.0,0.0,1.0,depleted
Chakrabartyella,7858.0,0.980853769636332,0.0,0.0,0.0,1.0,depleted
Cellulosilyticum,,1.0,0.0,0.0,0.0,1.0,depleted
Cellulomonas,9209.5,0.2897144748737345,0.0,0.0,0.0,1.0,depleted
Caulobacter,,1.0,0.0,0.0,0.0,1.0,depleted
Capnocytophaga,8941.5,0.42977053624500217,0.0,0.0,0.0,1.0,depleted
Candidatus Tachikawaea,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Sulcia,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Solibacter,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Purcelliella,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Promineofilum,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Phytoplasma,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Phaeomarinobacter,,1.0,0.0,0.0,0.0,1.0,depleted
Candidatus Nucleicultrix,,1.0,0.0,0.0,0.0,1.0,depleted
Desulfofarcimen,8948.0,0.4265583240605395,0.0,0.0,0.0,1.0,depleted
Desulfococcus,,1.0,0.0,0.0,0.0,1.0,depleted
Deinococcus,8767.0,0.7779219402429488,0.0,0.0,0.0,1.0,depleted
Dehalococcoides,,1.0,0.0,0.0,0.0,1.0,depleted
Dehalobacterium,,1.0,0.0,0.0,0.0,1.0,depleted
Corynebacterium,9001.0,0.3667623841182315,0.0,0.0,0.0,1.0,depleted
Coriobacterium,8990.0,0.1404575194769907,0.0,0.0,0.0,1.0,depleted
Coraliomargarita,8445.5,0.9018798216747321,0.0,0.0,0.0,1.0,depleted
Coprococcus,7856.0,0.9536479835370385,-0.42764092098230033,0.01852,0.02491,1.0,depleted
Coprobacter,8000.0,0.950899180742423,0.0,0.0,0.0,1.0,depleted
Comamonas,8939.5,0.4356932736375197,0.0,0.0,0.0,1.0,depleted
Collinsella,8109.5,0.9028720627777278,-1.015596842858645,0.00598,0.01209,1.0,depleted
Clostridium,8272.5,0.8481635362561539,-0.8892195404216734,0.0023,0.00426,1.0,depleted
Clostridioides,8849.0,0.5790082104539321,0.0,0.0,0.0,1.0,depleted
Cloacibacillus,9526.5,0.04802547049614115,0.0,0.0,0.0,1.0,depleted
Chthonomonas,8941.0,0.43124973734333805,0.0,0.0,0.0,1.0,depleted
Erysipelothrix,,1.0,0.0,0.0,0.0,1.0,depleted
Erwinia,8941.5,0.4297707818022792,0.0,0.0,0.0,1.0,depleted
Enterovibrio,,1.0,0.0,0.0,0.0,1.0,depleted
Enterococcus,9121.0,0.18513978182047397,0.0,0.0,0.0,1.0,depleted
Enterobacter,8982.5,0.42257868592631087,0.0,0.0,0.0,1.0,depleted
Emergencia,8703.5,0.6429503427087697,0.0,0.0,0.0,1.0,depleted
Elusimicrobium,8783.0,0.7168602124632381,0.0,0.0,0.0,1.0,depleted
Eggerthella,8610.0,0.9811600186708718,0.0,0.0,0.0,1.0,depleted
Draconibacterium,,1.0,0.0,0.0,0.0,1.0,depleted
Dorea,9186.5,0.3355469966730047,-0.012392234206545163,0.02898,0.02923,1.0,depleted
Dichelobacter,,1.0,0.0,0.0,0.0,1.0,depleted
Dialister,9189.0,0.124798844941304,0.0,0.0,0.0,1.0,depleted
Devosia,8941.5,0.4297707818022792,0.0,0.0,0.0,1.0,depleted
Desulfovibrio,8953.5,0.467335609680248,0.0,0.0,0.0,1.0,depleted
Desulfotomaculum,8287.0,0.9838874278234221,0.0,0.0,0.0,1.0,depleted
Desulfomonile,,1.0,0.0,0.0,0.0,1.0,depleted
Gemmatimonas,8929.0,0.45354761356546397,0.0,0.0,0.0,1.0,depleted
Fusobacterium,8576.0,0.8581481916139787,0.0,0.0,0.0,1.0,depleted
Frankia,8939.5,0.43569282316962654,0.0,0.0,0.0,1.0,depleted
Flavonifractor,7576.5,0.9855389388734681,-0.5607148383253264,0.0004,0.00059,1.0,depleted
Flammeovirga,8941.5,0.42977053624500217,0.0,0.0,0.0,1.0,depleted
Finegoldia,8941.5,0.4297707818022792,0.0,0.0,0.0,1.0,depleted
Filifactor,8856.0,0.8234276509110054,0.0,0.0,0.0,1.0,depleted
Fibrobacter,,1.0,0.0,0.0,0.0,1.0,depleted
Fastidiosipila,,1.0,0.0,0.0,0.0,1.0,depleted
Faecalibaculum,8990.0,0.1404575194769907,0.0,0.0,0.0,1.0,depleted
Faecalibacterium,8439.0,0.7756423544492963,-0.0722427077781381,0.03408,0.03583,1.0,depleted
Faecalibacillus,8986.5,0.45634628372394953,-0.05294887832936362,0.00321,0.00333,1.0,depleted
Ezakiella,8990.0,0.1404575194769907,0.0,0.0,0.0,1.0,depleted
Eubacterium,9166.0,0.3426175274082568,0.05153029603818422,0.00114,0.0011,1.0,enriched
Ethanoligenens,8929.0,0.45354761356546397,0.0,0.0,0.0,1.0,depleted
Escherichia,9396.5,0.19500048674211862,0.0,0.0,0.0,1.0,depleted
Jeotgalibaca,,1.0,0.0,0.0,0.0,1.0,depleted
Intestinimonas,9002.5,0.4359458078766682,0.0,0.0,0.0,1.0,depleted
Intestinibacillus,8674.0,0.6502251978013811,-0.04064198373401521,0.00525,0.0054,1.0,depleted
Ichthyobacterium,8856.0,0.8234276509110054,0.0,0.0,0.0,1.0,depleted
Hungatella,8722.5,0.6578647626250624,0.0,0.0,0.0,1.0,depleted
Hungateiclostridium,,1.0,0.0,0.0,0.0,1.0,depleted
Homo,9233.5,0.16133876327473212,0.0,0.0,0.0,1.0,depleted
Herbinix,,1.0,0.0,0.0,0.0,1.0,depleted
Helicobacter,8939.5,0.4356930484047564,0.0,0.0,0.0,1.0,depleted
Halothiobacillus,,1.0,0.0,0.0,0.0,1.0,depleted
Halomicrobium,,1.0,0.0,0.0,0.0,1.0,depleted
Haemophilus,8901.0,0.5343254783392802,0.0,0.0,0.0,1.0,depleted
Gordonibacter,8410.0,0.8676491083137207,0.0,0.0,0.0,1.0,depleted
Geobacter,,1.0,0.0,0.0,0.0,1.0,depleted
Geobacillus,,1.0,0.0,0.0,0.0,1.0,depleted
Geoalkalibacter,8941.5,0.4297707818022792,0.0,0.0,0.0,1.0,depleted
Longicatena,8909.0,0.5068776191972776,0.0,0.0,0.0,1.0,depleted
Listeria,8941.5,0.4297707818022792,0.0,0.0,0.0,1.0,depleted
Limnochorda,8856.0,0.8234276509110054,0.0,0.0,0.0,1.0,depleted
Liberibacter,,1.0,0.0,0.0,0.0,1.0,depleted
Libanicoccus,,1.0,0.0,0.0,0.0,1.0,depleted
Leuconostoc,8941.5,0.4297707818022792,0.0,0.0,0.0,1.0,depleted
Lawsonibacter,7037.5,0.9990994012032848,-22.194603275719402,0.0,0.00048,1.0,depleted
Lactococcus,9098.0,0.16710704184936886,0.0,0.0,0.0,1.0,depleted
Lachnospira,8409.5,0.7893666839414949,-0.1832053799188227,0.00805,0.00914,1.0,depleted
