genus,KW_stat,p_value,mean_colorectal,mean_breast,mean_prostate,adjusted_p
Solibaculum,317.5986111648907,1.0822755704105396e-69,0.040112439024390247,0.0,0.0,1.4016351897908098e-67
[Ruminococcus],317.59848512796907,1.0823437759002392e-69,0.053294878048780484,0.0,0.0,1.4016351897908098e-67
Dorea,313.9686267444152,6.646284949697577e-69,0.038266504065040646,0.0,0.0,5.737959339905575e-67
Lachnospira,306.7709183671831,2.4296374459157042e-67,0.012954959349593495,0.0,0.0,1.2585521969843348e-65
Intestinibacillus,306.77116565698975,2.4293370522000918e-67,0.006502439024390244,0.0,0.0,1.2585521969843348e-65
Anaerobutyricum,303.2023525516586,1.44692391024442e-66,0.05491577235772358,0.0,0.0,6.2458882125550794e-65
Paludicola,292.61913776201294,2.874495183869062e-64,0.0056344715447154475,0.0,0.0,1.0635632180315529e-62
Phocaeicola,289.1309130134387,1.644447319711484e-63,0.05079121951219512,0.0,0.0,5.323898197565929e-62
Coprococcus,255.32740103964457,3.6004710633927964e-56,0.02777512195121951,0.0,0.0,1.0361355615763715e-54
Prevotella,244.54157692781257,7.915370940728182e-54,0.000203739837398374,0.36195472016580316,0.06753425122580645,2.0500810736485993e-52
Mahella,231.07935265552672,6.63370462379939e-51,1.6260162601626018e-07,6.440694300518134e-06,0.0027770157419354834,1.5619359068764018e-49
[Clostridium],229.6444925580415,1.3593523467299472e-50,0.0016975609756097528,0.0,0.0,2.9339354816921363e-49
Blautia,228.22577125446173,2.7631436148850544e-50,0.1323244715447154,0.0021680348031088083,0.0011947188387096772,5.505032278886378e-49
Vescimonas,226.51496932662926,6.499790765027098e-50,0.021930569105691054,0.0,0.0,1.202461291530013e-48
Mordavella,219.74996706553353,1.9138193994935458e-48,0.0,0.009083675062176166,0.0007621846774193549,3.3045281631255223e-47
Lysinibacillus,216.81311869479754,8.310544384723872e-48,1.3008130081300813e-06,6.101259067357513e-06,0.0009074370322580644,1.3452693722771768e-46
Chordicoccus,208.11629590684362,6.4286613237025315e-46,0.0029770731707317076,0.0,0.0,9.794254604935035e-45
Lachnoclostridium,196.83494049342184,1.8106551697751473e-43,0.0,0.008531304611398963,0.02058343416129032,2.6053316053986843e-42
Faecalibacillus,196.19745548614404,2.4903699050094788e-43,0.012653170731707318,0.0,0.0,3.39476739682871e-42
Thomasclavelia,193.26057208181152,1.0814339206742774e-42,0.002425447154471542,0.0,0.0,1.4004569272731893e-41
Anaerostipes,185.21789415208323,6.031777459549101e-41,0.05404040650406504,0.002723340352331606,0.006128612709677419,7.439192200110557e-40
Ruthenibacterium,184.54962697031195,8.424762851058085e-41,0.0012447154471544716,0.0,0.0,9.918243538291109e-40
Dialister,177.1705731884159,3.37208764758009e-39,0.0010676422764227642,0.01773104194300518,0.001592683193548387,3.6390445863468475e-38
Anaerotignum,177.17723150795285,3.360880095265495e-39,4.065040650406504e-07,0.0007195905803108809,0.00048071119354838716,3.6390445863468475e-38
Phascolarctobacterium,175.98750161185552,6.092556747775918e-39,0.013997317073170732,0.0,0.0,6.311888790695851e-38
Herbinix,175.5810219194844,7.465613917239633e-39,0.0,0.0045799863056994825,2.6065225806451613e-05,7.436900017557942e-38
Lactobacillus,170.85015533510327,7.949872304594606e-38,0.0010535772357723578,0.0008610484093264248,0.03906839119354839,7.625988618111123e-37
Mogibacterium,170.51997991315247,9.376847107011081e-38,0.0,0.0009360584352331606,0.0012171487096774194,8.67358357398525e-37
Acetoanaerobium,166.25800046485878,7.898305227944994e-37,0.0,0.0017589584507772022,0.000914169677419355,7.054003634612943e-36
Haemophilus,165.69318877742126,1.0475655611598382e-36,0.0005217886178861789,0.0013959563523316062,9.094580645161289e-06,9.043982678013269e-36
Candidatus Sulcia,162.34909510626053,5.57624602522274e-36,0.0,0.0005964398341968912,0.0008692336451612903,4.6588636146215794e-35
Dehalococcoides,160.74368142132622,1.2443801620417814e-35,0.0,0.002512001595854922,0.00023788348387096772,1.0071701936525669e-34
Petroclostridium,159.30033912130662,2.5607717915727545e-35,0.0018773170731707317,0.0,0.0,2.0098178606586166e-34
Streptobacillus,158.90800732862255,3.1157646339518e-35,0.0,6.619310880829016e-05,0.00018015116129032263,2.3734795299809305e-34
Kiritimatiella,158.77736030221817,3.326092207682709e-35,6.910569105691057e-05,0.0017087871865284973,3.0925709677419355e-05,2.4613082336852043e-34
Mediterraneibacter,156.57444057868025,1.0006730988868773e-34,0.014986829268292682,0.0,0.0,7.199287016991701e-34
