,PC1,PC2,PC3,cancer_type,condition
SRR2143521,-0.3588091113064349,-0.3058008673093461,0.06991045606023685,Colorectal,Healthy
SRR2143523,-0.33683315245629697,-0.14955129866079328,-0.043751661739704524,Colorectal,Cancer
SRR2143524,-0.3559732777010691,-0.16991032358833089,-0.12243063421860237,Colorectal,Healthy
SRR2143526,-0.3511865576136541,-0.2459141820388134,0.035244176740033537,Colorectal,Cancer
SRR2143527,-0.3768843159845064,-0.06978598637868766,-0.13761005661932926,Colorectal,Healthy
SRR2143530,-0.37021329509855144,0.024294449609756977,-0.04010682385139066,Colorectal,Healthy
SRR2143533,-0.3699300011481052,-0.3124054370304378,-0.021407137625458757,Colorectal,Cancer
SRR2143534,-0.39823084953033133,0.03945010907297495,-0.05670959680986274,Colorectal,Cancer
SRR2143536,-0.3504371256593611,-0.014589015221594184,-0.11357965498135993,Colorectal,Healthy
SRR2143537,-0.39411902488439204,-0.24083522040623323,-0.06523136640244231,Colorectal,Cancer
SRR2143538,-0.3365669758230442,-0.3345578236027552,0.05519767016211472,Colorectal,Cancer
SRR2143540,-0.3839932900628398,-0.056912128543435046,-0.09143202477455353,Colorectal,Healthy
SRR2143542,-0.34784817879348456,-0.029493457015864016,-0.06995436844937095,Colorectal,Cancer
SRR2143543,-0.4217170502309921,-0.2196303988162348,-0.08189398259468032,Colorectal,Healthy
SRR2143544,-0.36569132740092836,-0.1285862594954783,-0.018009187493129644,Colorectal,Cancer
SRR2143545,-0.1784072356248544,-0.15033609237131898,0.1004182387526042,Colorectal,Cancer
SRR2143546,-0.3017438802681824,-0.15196480118293465,-0.06494709849439233,Colorectal,Healthy
SRR2143547,-0.37355418199150675,-0.2014892115410741,-0.08424657652887554,Colorectal,Healthy
SRR2143549,-0.41099417668591864,0.07588902548193276,-0.04187040509315329,Colorectal,Healthy
SRR2143551,-0.31203999513127173,0.06348818831415504,-0.07224021401913917,Colorectal,Healthy
SRR2143552,-0.3741987531879114,-0.22490012044808133,-0.03985792091311288,Colorectal,Cancer
SRR2143553,-0.3669437796289848,0.05414451075775415,-0.08535333806714977,Colorectal,Cancer
SRR2143555,-0.35165751034180487,-0.302313944759881,0.008267061085436922,Colorectal,Healthy
SRR2143557,-0.3627286612802545,0.08870251190151913,-0.031987513522962883,Colorectal,Cancer
SRR2143558,-0.35214348607303636,-0.09415981034940736,-0.04157602918156422,Colorectal,Healthy
SRR2143559,-0.36102550461765615,0.012135450640768815,-0.14257134604264063,Colorectal,Healthy
SRR2143560,-0.37299664370661045,-0.22492068666598403,-0.1013705984058178,Colorectal,Healthy
SRR2143562,-0.3512587930791261,-0.2768262012120871,-0.04377781230868166,Colorectal,Healthy
SRR2143564,-0.4037016259958887,-0.26962460568835706,-0.021578564879396262,Colorectal,Healthy
SRR2143565,-0.38697693004917255,-0.2644869238478252,-0.08458240763499245,Colorectal,Cancer
SRR2143567,-0.3620957172138541,-0.3244427706352929,0.0010889136652600386,Colorectal,Healthy
SRR2143568,-0.3273692622311592,-0.03119004252471826,-0.07934532173723682,Colorectal,Healthy
SRR2143569,-0.3746155982162728,-0.01494084045304149,-0.05903047812295994,Colorectal,Cancer
SRR2143572,-0.37647573032476744,0.028682079913372717,-0.1289358050059836,Colorectal,Healthy
SRR2143574,-0.3450034355263588,-0.18773145321389695,-0.09771904257133236,Colorectal,Healthy
SRR2143576,-0.3483903818041057,-0.2909054823726896,-0.03146033609126192,Colorectal,Cancer
SRR2143578,-0.23390579880585052,0.03391666965826752,0.05228820536755999,Colorectal,Cancer
SRR2143580,-0.3601092359781192,-0.056831424783539086,-0.09961530451968235,Colorectal,Healthy
SRR2143582,-0.35587225530043204,-0.08787662038875678,-0.05039863346883471,Colorectal,Cancer
SRR2143583,-0.39818464503129203,-0.17757918579556053,-0.025184210074056516,Colorectal,Cancer
SRR2143584,-0.3610911019144411,-0.18371211417828923,-0.1080400414673855,Colorectal,Healthy
SRR2143585,-0.35630154860900215,-0.1045425273913926,-0.04434260107629791,Colorectal,Healthy
SRR2143587,-0.3499117554793652,0.07007327082326886,-0.14832054743807782,Colorectal,Healthy
SRR2143589,-0.35698020574818995,-0.04710381504964141,-0.08241307796660438,Colorectal,Cancer
SRR2143591,-0.3689302055383179,0.16502980251782315,-0.08834853225734854,Colorectal,Healthy
SRR2143593,-0.3585833059079609,0.035192681848889566,-0.15685603311163862,Colorectal,Healthy
SRR2143595,-0.33628647358729125,0.2257774466795493,-0.0646529124715621,Colorectal,Healthy
SRR2143597,-0.34675438214972004,0.04144048208945502,-0.05741255288723647,Colorectal,Healthy
SRR2143598,-0.38308229451,0.006541925501973095,-0.0634034191099674,Colorectal,Healthy
SRR2143600,-0.33854927589042116,0.06687791827961732,-0.0424798751533007,Colorectal,Cancer
SRR2143602,-0.2749006742843657,-0.3247002153132125,0.10896786524081498,Colorectal,Cancer
SRR2143605,-0.38838338588088045,-0.18764635574248031,-0.11140597767869001,Colorectal,Healthy
SRR2143607,-0.29631133582251157,0.09363058287847843,-0.04707516148426778,Colorectal,Cancer
SRR2143608,-0.2512727291903449,0.01194902772516172,-0.10555944114650027,Colorectal,Cancer
SRR2143609,-0.3685547412585368,0.09022848069684893,-0.11663423362940033,Colorectal,Healthy
SRR2143610,-0.3587297290244966,-0.07039338229769075,-0.12124528923944088,Colorectal,Healthy
SRR2143611,-0.35439274579326047,0.03976478144844161,-0.04175193889160154,Colorectal,Cancer
SRR2143612,-0.4136178386667772,-0.0021933320783726145,-0.03251577427287921,Colorectal,Healthy
SRR2143614,-0.31923308048382104,0.1683752747555052,-0.05926283180677123,Colorectal,Cancer
SRR2143615,-0.32642750257758735,-0.28521934735780635,-0.004546589820578725,Colorectal,Cancer
SRR2143617,-0.36649957071998057,0.006800265269772648,-0.0865194538367337,Colorectal,Healthy
SRR2143618,-0.33403068436695027,0.18842539016289153,0.0022278141148562858,Colorectal,Healthy
SRR2143619,-0.36045814089147893,-0.3109212916634674,0.00028150070391282556,Colorectal,Healthy
SRR2143621,-0.3496207105935389,-0.3169007188104739,9.639805602659806e-05,Colorectal,Cancer
SRR2143623,-0.323991454473731,-0.17871104102068866,-0.04396275775189079,Colorectal,Cancer
SRR2143624,-0.27554275064691197,-0.30490579318808997,0.0679084676104188,Colorectal,Healthy
SRR2143626,-0.28036805436930445,-0.3000349940030212,0.07185707518457467,Colorectal,Cancer
SRR2143627,-0.39484889531877776,-0.2845272037030968,-0.07382556100820589,Colorectal,Healthy
SRR2143629,-0.41792835340057055,-0.06768913173186022,-0.04651356479962155,Colorectal,Healthy
SRR2143630,-0.3638509344678579,0.010705633252127957,-0.1193975181131996,Colorectal,Healthy
SRR2143633,-0.3645256362013799,0.046525907658098505,-0.1162835382340257,Colorectal,Healthy
SRR2143634,-0.3348304675071586,-0.26534469986656267,-0.03958059645910482,Colorectal,Cancer
SRR2143636,-0.33762667556842185,0.0327767706073343,-0.08441159629662703,Colorectal,Healthy
SRR2143637,-0.3056746056193796,-0.07111511059725509,-0.041147051449335975,Colorectal,Healthy
SRR2143638,-0.3602596159210446,0.19325702469969003,-0.11227771337644298,Colorectal,Cancer
SRR2143640,-0.3480414128412845,0.028396166899605172,-0.11383807234546114,Colorectal,Healthy
SRR2143641,-0.3760036595064212,-0.17702720823283244,-0.11794628827620166,Colorectal,Healthy
SRR2143643,-0.3767445123058201,-0.10882961853148665,-0.08148957193596613,Colorectal,Healthy
SRR2143644,-0.32811353799519144,-0.21328029721428204,0.050034882214751206,Colorectal,Cancer
SRR2143646,-0.3649880447240153,0.14790933719579688,0.02648176753450201,Colorectal,Healthy
SRR2143647,-0.3597760925660941,0.15999811775073114,-0.02475399132134567,Colorectal,Cancer
