genus,importance,rank
Mahella,0.05957119634155614,1
_Ruminococcus_,0.04567186062681717,2
Lachnospira,0.04289262324455812,3
Dorea,0.04108693406899566,4
Blautia,0.03875323380784148,5
Intestinibacillus,0.03291240983321386,6
Lysinibacillus,0.028276257589667918,7
Solibaculum,0.026153532837004875,8
Frankia,0.022578028539296885,9
Listeria,0.021078414896431565,10
Bacillus,0.020138159667362595,11
Haemophilus,0.019627075336307843,12
Anaerobutyricum,0.01950723788745767,13
Coprococcus,0.01937521754811922,14
Synechococcus,0.019209551701417277,15
Lachnoclostridium,0.018599222363043986,16
Chordicoccus,0.01836699091405994,17
Paludicola,0.018296644641383017,18
Prevotella,0.018182708460467368,19
Streptobacillus,0.017838615303836715,20
Geobacillus,0.016189157481324608,21
Parabacteroides,0.01484765332862059,22
Corynebacterium,0.014502416679702826,23
Phocaeicola,0.014224948344753794,24
Shigella,0.012950418912809743,25
_Clostridium_,0.012684194794145462,26
Anaerostipes,0.012549109706702553,27
Lactobacillus,0.012263339353141955,28
Mordavella,0.011496886753864842,29
Staphylococcus,0.010535496989590996,30
Basfia,0.009863365211737966,31
Vescimonas,0.009849772457016041,32
Caldicellulosiruptor,0.009448626287606551,33
Escherichia,0.009428760429639506,34
Kiritimatiella,0.008783270904257064,35
Streptococcus,0.008667971264363611,36
Paenibacillus,0.00851328300438106,37
Candidatus Sulcia,0.008388391293356312,38
Nocardia,0.007953833613265559,39
Anaerotignum,0.007935568795092622,40
Dialister,0.007702399206451643,41
Dehalococcoides,0.007498701771017947,42
Clostridioides,0.007173873562340732,43
Serratia,0.006983683034746106,44
Sutterella,0.006879276014062684,45
Emergencia,0.005697467996496992,46
Proteus,0.005692319354511319,47
Brochothrix,0.0056071101021611565,48
Parvimonas,0.005215387808603418,49
Akkermansia,0.0051978095088881585,50
