cancer_type,genus,shap_rank,da_enriched,da_log2fc,da_adj_p,in_overlap
Colorectal,Pasteurella,2,False,0.0,0.36702,False
Colorectal,Candidatus,8,False,0.0,0.666062,False
Colorectal,Paraprevotella,5,False,0.0,0.898255,False
Colorectal,Chlamydia,10,False,0.0,1.0,False
Colorectal,Lawsonibacter,4,False,-22.1946,0.999099,False
Colorectal,Sarcina,1,False,0.0,0.957174,False
Colorectal,Terrisporobacter,6,False,0.0,0.909345,False
Colorectal,Phocaeicola,7,False,-0.6393,0.979667,False
Colorectal,Lachnospira,3,False,-0.1832,0.789367,False
Colorectal,Agathobacter,9,False,0.0,0.164846,False
Breast,Arcticibacterium,4,False,0.0,0.75011,False
Breast,Syntrophomonas,5,False,0.0,0.361456,False
Breast,Alpha3microvirus,6,False,0.0,0.720825,False
Breast,Mahella,1,False,0.0,0.858055,False
Breast,Rhodomicrobium,10,False,-18.8346,0.992093,False
Breast,Corynebacterium,7,False,0.4575,0.612437,False
Breast,Halothiobacillus,8,False,0.0,0.574869,False
Breast,Prosthecochloris,9,False,0.0,0.937374,False
Breast,Lysinibacillus,2,False,0.0,0.907167,False
Breast,Frankia,3,False,0.0,0.998178,False
