genus,mean_abs_shap
Mahella,0.015236623970545746
Frankia,0.013274389611920135
Lysinibacillus,0.01318764624750469
Ezakiella,0.008848406402894587
Corynebacterium,0.00831340203217267
Syntrophomonas,0.007079858952445959
Nitrosomonas,0.005076657080225806
Streptomyces,0.004956205025663092
Synechococcus,0.004764238676475249
Sarcina,0.004059530753040744
Geobacillus,0.0040359178050388194
Listeria,0.004013218731308457
Caldicellulosiruptor,0.003941308814768956
Lachnospira,0.0036968356320824882
Pasteurella,0.003496338394346859
Bacillus,0.003080505308046514
Lawsonibacter,0.002940093932069294
Alkalitalea,0.002767776720738488
Streptococcus,0.0026547671391182223
Paraprevotella,0.002483477908473079
Terrisporobacter,0.002415665016017422
Parvimonas,0.002307749316118272
Alpha3microvirus,0.0022970431355348905
Phocaeicola,0.00213103460855807
Nocardia,0.002069245556006091
Streptobacillus,0.002045098578756737
Candidatus Koribacter,0.0019411947926968231
Candidatus,0.001863920729166413
Dorea,0.0016927414906659324
Blautia,0.001620942199497975
_Clostridium_,0.0016073675905716128
Halothiobacillus,0.0015877255788954183
Arcticibacterium,0.0015651394079844354
Solibaculum,0.0015565797764619611
Chlamydia,0.0014594457750618528
Anaerolinea,0.0014288439237833794
Vescimonas,0.0013993506987117826
Sandaracinus,0.0012939954569273085
Dichelobacter,0.001293130199154548
Mordavella,0.001287395344296007
Sphaerobacter,0.001260682435508954
Serratia,0.0011994141989705091
Petroclostridium,0.0011483590646427543
Agathobacter,0.0011452630134197426
Finegoldia,0.0010101364647939035
Pseudopedobacter,0.0010076104215345778
Novisyntrophococcus,0.0009802940132769343
Aureibaculum,0.000961389123913684
Steroidobacter,0.0009533093418844248
Cellulosilyticum,0.0009030901837157819
Prevotella,0.0008833463495042981
Sellimonas,0.000849394429180274
Paucibacter,0.0008430597668408809
_Ruminococcus_,0.0008382913040168079
Coprococcus,0.0008340123683489528
Rhodomicrobium,0.0008142320826470382
Prosthecochloris,0.0008138060885093291
Anaerobutyricum,0.0008041314589114444
Ruthenibacterium,0.0007811522515448291
Paeniclostridium,0.0007619093607827127
Mediterraneibacter,0.0007521632483184909
Proteus,0.0007311483731355621
Thioalkalivibrio,0.0006858638255440368
Staphylococcus,0.0006833855908285174
Treponema,0.000674480882031455
Fibrobacter,0.0006300159688745015
Candidatus Azobacteroides,0.0006277067807065527
Thalassolituus,0.0005927080811266757
Rothia,0.0005852253348773251
Eggerthella,0.0005810653478636142
Basfia,0.0005779691302238249
Clostridium,0.0005718422744860957
Candidatus Solibacter,0.0005716576938437382
Candidatus Blochmannia,0.0005198301185502897
Desulfococcus,0.0005168724346844925
Ureaplasma,0.0005096414228421545
Kosmotoga,0.0004950687010688829
Candidatus Moranella,0.00048711449321729906
Ichthyobacterium,0.00047587803710597335
Sutterella,0.0004628537160768533
Olsenella,0.0004604721812151084
Faecalibaculum,0.00043979628249216546
Candidatus Phaeomarinobacter,0.000439665954181308
Limnochorda,0.0004341861067524712
Faecalibacillus,0.0004239069443655144
Aggregatibacter,0.00041672774154528414
Actinobacillus,0.00041213905885426196
Enterovibrio,0.00041023069854930665
Candidatus Tachikawaea,0.00040748261533750325
Mycoplasma,0.0003976818399969849
Rickettsia,0.0003884108541911443
Fastidiosipila,0.0003852250088860124
Mogibacterium,0.00038094065437003767
Pragia,0.000361470062927868
Thomasclavelia,0.00035184699234593156
Segatella,0.0003497801112434494
Aristaeella,0.0003467515479723576
Methylobacter,0.0003290564035120065
Lactobacillus,0.00032864038309306606
Paludicola,0.000324057052144968
Chordicoccus,0.00032267459550565147
Acinetobacter,0.0003188697410996262
Chthonomonas,0.0003178661780426537
Helicobacter,0.000310516839975545
Thermobispora,0.0003075601356832272
Tannerella,0.0003046679323328818
Emergencia,0.00030131131006409887
Pantoea,0.0002682922614091463
Wansuia,0.00026026170955134007
Lactococcus,0.00025901528843048796
Leuconostoc,0.00025026382742840853
Actinomyces,0.00024682469596106485
Clostridioides,0.00021662801921214876
Elusimicrobium,0.00020705180385728096
Filifactor,0.00020188056792533264
Escherichia,0.00019589928632295558
Desulfotomaculum,0.00019223226448153742
Odoribacter,0.0001868713181728145
Weissella,0.000182328874522561
Rubrobacter,0.00018206583092890158
Eubacterium,0.00016679113050000618
Chakrabartyella,0.00016299489956825034
Deinococcus,0.00016108220524393627
Dialister,0.00015890353677228952
Flammeovirga,0.00015735301769537633
Thermobifida,0.00015385802123472133
Lachnoanaerobaculum,0.00015276447455207302
Anaerostipes,0.00013863085121642376
Thiomonas,0.00013603048114862613
Neisseria,0.0001357544222500837
Dehalobacterium,0.00013274862451479136
Arsenophonus,0.00013180666925186938
Aneurinibacillus,0.00013060031812657635
Desulfomonile,0.00012081798665518704
Candidatus Cardinium,0.0001159088716009549
Lachnoclostridium,0.00011280686315893665
Monoglobus,0.00011165036313956489
Cellulomonas,0.00011039897247097798
Alicyclobacillus,0.00010734567919965837
Brochothrix,0.00010431824604340192
Megasphaera,0.00010298617002196114
Capnocytophaga,0.00010183044472455669
Anaerotignum,9.702604576395312e-05
Intestinibacillus,9.668481801186831e-05
Geoalkalibacter,9.584716556112496e-05
Intestinimonas,9.551955009185116e-05
Spiroplasma,8.322323084178442e-05
Alistipes,8.146707814882693e-05
Morganella,5.6529579735641e-05
Methanobrevibacter,4.8574052240265756e-05
Xanthomonas,0.0
Veillonella,0.0
Vibrio,0.0
Vagococcus,0.0
Virgibacillus,0.0
Acidihalobacter,0.0
Trichodesmium,0.0
Tistrella,0.0
Aminobacterium,0.0
