cancer_class,rank,genus,mean_pos_shap
Breast,1,Mahella,0.008335
Breast,2,Lysinibacillus,0.006816
Breast,3,Frankia,0.005184
Breast,4,Arcticibacterium,0.002615
Breast,5,Syntrophomonas,0.002505
Breast,6,Alpha3microvirus,0.002435
Breast,7,Corynebacterium,0.0023
Breast,8,Halothiobacillus,0.002198
Breast,9,Prosthecochloris,0.002007
Breast,10,Rhodomicrobium,0.001932
Colorectal,1,Sarcina,0.006624
Colorectal,2,Pasteurella,0.005936
Colorectal,3,Lachnospira,0.005601
Colorectal,4,Lawsonibacter,0.004465
Colorectal,5,Paraprevotella,0.004228
Colorectal,6,Terrisporobacter,0.003885
Colorectal,7,Phocaeicola,0.002971
Colorectal,8,Candidatus,0.002768
Colorectal,9,Agathobacter,0.002595
Colorectal,10,Chlamydia,0.002474
Prostate,1,Mahella,0.015943
Prostate,2,Frankia,0.0152
Prostate,3,Lysinibacillus,0.013813
Prostate,4,Ezakiella,0.012618
Prostate,5,Corynebacterium,0.011168
Prostate,6,Geobacillus,0.00779
Prostate,7,Syntrophomonas,0.007703
Prostate,8,Streptomyces,0.006697
Prostate,9,Nitrosomonas,0.00629
Prostate,10,Synechococcus,0.005678
