duration_seconds,mean_pitch_hz,hnr_db,intent_label
1.775,156.705,8.025,0
1.679,165.357,9.787,0
1.797,182.168,10.159,0
1.928,152.226,8.179,0
1.665,147.873,9.963,0
1.665,152.474,9.413,0
1.937,173.731,9.822,0
1.815,164.931,10.897,0
1.63,152.054,8.755,0
1.781,167.699,8.246,0
1.63,161.456,8.11,0
1.63,174.53,8.184,0
1.736,149.469,8.923,0
1.413,155.085,9.341,0
1.441,154.118,9.277,0
1.616,138.047,9.827,0
1.548,164.442,9.013,0
1.747,163.916,10.454,0
1.564,160.077,8.735,0
1.488,156.481,11.72,0
1.428,193.412,13.315,1
1.472,209.607,9.133,1
1.334,165.888,11.686,1
1.321,192.77,9.387,1
1.622,193.898,10.528,1
1.703,201.727,12.089,1
1.489,171.446,11.064,1
1.651,170.193,9.922,1
1.554,197.829,10.285,1
1.403,194.455,11.68,1
1.554,193.757,10.27,1
1.731,195.197,11.216,1
1.495,179.8,11.046,1
1.735,193.484,10.348,1
1.107,194.396,13.144,1
1.623,179.285,11.634,1
1.513,217.987,8.975,1
1.455,197.107,11.186,1
1.514,172.13,10.338,1
1.202,199.848,11.852,1
