mean_f0_hz,sd_f0_hz,hnr_db,shimmer_db,cpp_db,duration_seconds,intent_label
151.972,16.897,9.233,0.426,12.037,1.871,0
176.968,15.792,9.224,0.49,12.752,1.582,0
168.396,18.483,9.2,0.425,10.369,1.74,0
146.924,20.993,8.221,0.491,14.259,1.644,0
158.057,24.435,9.349,0.391,13.6,1.876,0
184.817,16.919,8.745,0.454,14.985,1.745,0
135.88,21.249,9.504,0.555,14.062,1.994,0
159.853,19.999,7.278,0.392,14.03,1.537,0
180.191,19.897,7.828,0.475,15.251,1.762,0
154.599,15.744,9.291,0.462,12.429,1.707,0
156.853,14.011,10.49,0.315,11.497,1.742,0
163.863,13.6,9.668,0.415,12.768,1.939,0
182.897,14.974,8.454,0.518,12.175,1.788,0
157.333,19.287,7.646,0.458,12.743,1.528,0
159.672,21.044,9.594,0.377,11.95,1.78,0
159.788,19.294,8.936,0.491,13.568,1.638,0
191.471,15.804,9.473,0.421,13.513,1.629,0
191.241,25.224,9.092,0.472,12.973,1.857,0
177.049,24.075,9.024,0.473,13.312,1.61,0
169.634,16.584,11.367,0.383,12.858,1.643,0
173.848,14.706,8.995,0.497,13.752,1.705,0
182.889,18.521,8.873,0.39,13.07,1.842,0
153.77,23.069,8.903,0.372,12.735,1.787,0
179.11,19.331,8.533,0.397,13.93,1.665,0
149.953,20.226,9.792,0.429,14.261,1.659,0
157.347,17.152,8.717,0.457,14.337,1.526,0
175.885,19.825,9.509,0.404,12.01,1.586,0
147.856,24.178,9.228,0.495,12.466,1.602,0
163.319,17.041,9.975,0.465,11.299,1.678,0
154.659,18.573,9.336,0.408,12.761,1.998,0
203.802,24.318,10.884,0.358,15.094,1.364,1
174.792,24.319,12.495,0.274,14.766,1.581,1
192.172,20.9,10.585,0.266,16.331,1.596,1
204.134,16.336,10.95,0.312,15.216,1.585,1
185.98,19.324,10.918,0.33,16.255,1.37,1
202.373,28.449,10.774,0.356,15.974,1.761,1
176.985,25.584,11.114,0.36,14.676,1.761,1
173.638,23.478,11.433,0.446,14.833,1.477,1
194.553,18.955,12.072,0.354,16.93,1.721,1
185.45,22.015,9.745,0.414,15.191,1.743,1
197.705,16.977,10.592,0.348,14.241,1.606,1
166.265,19.792,10.642,0.437,13.8,1.458,1
198.547,21.019,11.75,0.238,15.974,1.842,1
221.18,20.553,10.715,0.314,15.16,1.657,1
189.704,25.826,9.484,0.409,14.208,1.562,1
190.41,16.325,11.07,0.34,15.675,1.716,1
192.155,18.538,10.973,0.406,15.16,1.843,1
167.656,16.501,11.144,0.373,13.34,1.525,1
195.114,17.051,10.168,0.407,15.589,1.704,1
170.735,22.496,12.375,0.387,16.333,1.891,1
184.868,15.598,10.741,0.39,17.56,1.433,1
204.914,25.015,10.849,0.44,15.035,1.518,1
181.177,21.013,10.28,0.409,15.233,1.51,1
196.015,22.275,10.255,0.41,16.607,1.576,1
202.153,23.29,10.022,0.351,15.169,1.569,1
193.345,20.263,10.685,0.315,15.275,1.645,1
173.549,26.13,10.234,0.31,14.369,1.477,1
186.01,21.223,12.645,0.395,13.606,1.507,1
213.513,24.376,9.489,0.204,15.913,1.645,1
165.699,21.204,10.097,0.272,13.726,1.623,1
