speaker_id,age_group,sex,ethnicity,sentence_id,intent_label,duration_seconds,mean_f0_hz
S01,younger,female,white,1,0,1.65,164.655
S01,younger,female,white,2,0,1.757,174.949
S01,younger,female,white,3,1,1.763,195.804
S01,younger,female,white,4,1,1.645,187.416
S02,older,male,black,1,0,1.668,177.234
S02,older,male,black,2,0,1.587,163.872
S02,older,male,black,3,1,1.624,186.105
S02,older,male,black,4,1,1.794,192.399
S03,younger,female,south_asian,1,0,1.792,205.325
S03,younger,female,south_asian,2,0,1.816,197.491
S03,younger,female,south_asian,3,1,1.591,204.15
S03,younger,female,south_asian,4,1,1.562,197.228
S04,older,male,white,1,0,1.714,179.119
S04,older,male,white,2,0,1.67,167.064
S04,older,male,white,3,1,1.714,185.861
S04,older,male,white,4,1,1.573,174.524
S05,younger,female,black,1,0,1.556,186.919
S05,younger,female,black,2,0,1.617,190.598
S05,younger,female,black,3,1,1.609,200.362
S05,younger,female,black,4,1,1.479,197.84
S06,older,male,south_asian,1,0,1.664,190.963
S06,older,male,south_asian,2,0,1.646,199.599
S06,older,male,south_asian,3,1,1.571,204.906
S06,older,male,south_asian,4,1,1.72,208.113
S07,younger,female,white,1,0,1.745,170.13
S07,younger,female,white,2,0,1.707,161.751
S07,younger,female,white,3,1,1.51,175.292
S07,younger,female,white,4,1,1.592,194.974
S08,older,male,black,1,0,1.701,174.905
S08,older,male,black,2,0,1.873,168.822
S08,older,male,black,3,1,1.625,191.065
S08,older,male,black,4,1,1.593,192.855
S09,younger,female,south_asian,1,0,1.667,181.859
S09,younger,female,south_asian,2,0,1.637,195.369
S09,younger,female,south_asian,3,1,1.781,203.916
S09,younger,female,south_asian,4,1,1.512,205.643
S10,older,male,white,1,0,1.785,179.221
S10,older,male,white,2,0,1.729,177.012
S10,older,male,white,3,1,1.739,186.994
S10,older,male,white,4,1,1.701,183.019
S11,younger,female,black,1,0,1.781,182.458
S11,younger,female,black,2,0,1.675,180.574
S11,younger,female,black,3,1,1.514,188.813
S11,younger,female,black,4,1,1.521,204.071
S12,older,male,south_asian,1,0,1.671,194.41
S12,older,male,south_asian,2,0,1.809,183.862
S12,older,male,south_asian,3,1,1.409,217.831
S12,older,male,south_asian,4,1,1.663,206.033
