speaker_id,age_group,sex,ethnicity,sentence_id,intent_label,duration_seconds,mean_f0_hz,sd_f0_hz,hnr_db
S01,younger,female,white,1,0,1.763,158.919,24.938,8.847
S01,younger,female,white,2,0,1.708,170.969,17.63,8.611
S01,younger,female,white,3,0,1.797,160.682,25.343,10.45
S01,younger,female,white,4,1,1.496,177.749,14.987,10.713
S01,younger,female,white,5,1,1.752,184.639,15.16,10.057
S01,younger,female,white,6,1,1.706,187.012,22.004,11.373
S02,older,male,black,1,0,1.638,189.85,22.326,9.48
S02,older,male,black,2,0,1.774,174.675,22.758,9.249
S02,older,male,black,3,0,1.774,184.773,21.644,8.827
S02,older,male,black,4,1,1.71,210.725,15.157,10.429
S02,older,male,black,5,1,1.686,196.241,19.363,9.431
S02,older,male,black,6,1,1.591,168.804,29.246,12.025
S03,younger,female,south_asian,1,0,1.718,200.931,25.96,9.796
S03,younger,female,south_asian,2,0,1.725,192.552,23.381,8.567
S03,younger,female,south_asian,3,0,1.823,185.306,20.222,9.237
S03,younger,female,south_asian,4,1,1.604,197.604,23.912,9.789
S03,younger,female,south_asian,5,1,1.577,205.916,18.35,10.507
S03,younger,female,south_asian,6,1,1.611,180.742,22.336,12.033
S04,older,male,white,1,0,1.35,195.836,22.633,10.105
S04,older,male,white,2,0,1.687,183.26,20.685,9.998
S04,older,male,white,3,0,1.53,194.074,24.203,10.907
S04,older,male,white,4,1,1.54,194.43,22.716,12.05
S04,older,male,white,5,1,1.647,194.415,28.02,10.053
S04,older,male,white,6,1,1.557,212.257,22.706,10.907
S05,younger,female,black,1,0,1.749,166.852,12.669,9.875
S05,younger,female,black,2,0,1.793,168.439,27.49,9.983
S05,younger,female,black,3,0,1.651,171.743,20.808,10.681
S05,younger,female,black,4,1,1.382,170.674,22.824,10.527
S05,younger,female,black,5,1,1.483,177.917,23.187,11.938
S05,younger,female,black,6,1,1.579,188.644,20.348,11.205
S06,older,male,south_asian,1,0,1.701,163.841,17.568,7.417
S06,older,male,south_asian,2,0,1.774,159.294,16.89,9.369
S06,older,male,south_asian,3,0,1.841,188.419,15.683,10.582
S06,older,male,south_asian,4,1,1.582,198.607,24.374,10.345
S06,older,male,south_asian,5,1,1.651,183.44,20.807,10.989
S06,older,male,south_asian,6,1,1.56,196.409,14.686,12.171
S07,younger,female,white,1,0,1.854,199.733,12.14,10.116
S07,younger,female,white,2,0,1.891,176.475,17.504,10.003
S07,younger,female,white,3,0,1.616,173.572,21.501,8.919
S07,younger,female,white,4,1,1.866,194.597,26.606,12.025
S07,younger,female,white,5,1,1.624,199.813,24.065,9.587
S07,younger,female,white,6,1,1.527,196.881,22.771,10.295
S08,older,male,black,1,0,1.498,220.974,12.563,9.274
S08,older,male,black,2,0,1.558,189.414,20.376,9.854
S08,older,male,black,3,0,1.714,206.034,24.944,8.901
S08,older,male,black,4,1,1.699,195.464,25.142,9.385
S08,older,male,black,5,1,1.543,196.846,21.92,8.818
S08,older,male,black,6,1,1.456,242.408,27.706,10.633
S09,younger,female,south_asian,1,0,1.793,172.009,20.423,9.559
S09,younger,female,south_asian,2,0,1.688,152.713,15.229,10.115
S09,younger,female,south_asian,3,0,1.701,164.475,20.146,11.058
S09,younger,female,south_asian,4,1,1.47,179.216,28.172,12.493
S09,younger,female,south_asian,5,1,1.628,178.606,23.979,10.283
S09,younger,female,south_asian,6,1,1.716,169.409,22.95,11.09
S10,older,male,white,1,0,1.933,189.333,18.787,8.343
S10,older,male,white,2,0,1.671,181.792,25.738,9.937
S10,older,male,white,3,0,1.635,192.041,22.953,9.316
S10,older,male,white,4,1,1.591,174.663,26.883,10.984
S10,older,male,white,5,1,1.675,186.261,21.979,12.297
S10,older,male,white,6,1,1.616,203.74,20.873,10.43
S11,younger,female,black,1,0,1.659,188.142,22.321,7.08
S11,younger,female,black,2,0,1.555,177.0,25.243,8.861
S11,younger,female,black,3,0,1.47,192.916,12.796,9.203
S11,younger,female,black,4,1,1.689,201.782,17.236,10.362
S11,younger,female,black,5,1,1.6,190.037,28.534,11.738
S11,younger,female,black,6,1,1.664,191.627,19.115,9.034
S12,older,male,south_asian,1,0,1.629,201.435,27.509,8.412
S12,older,male,south_asian,2,0,1.721,194.533,17.905,11.043
S12,older,male,south_asian,3,0,1.715,195.43,20.032,10.303
S12,older,male,south_asian,4,1,1.73,193.236,18.568,12.383
S12,older,male,south_asian,5,1,1.539,193.159,24.216,11.425
S12,older,male,south_asian,6,1,1.447,209.945,23.755,11.781
S13,younger,female,white,1,0,1.658,158.443,21.834,9.014
S13,younger,female,white,2,0,1.852,183.683,20.449,9.407
S13,younger,female,white,3,0,1.805,149.273,21.355,10.952
S13,younger,female,white,4,1,1.528,168.398,28.902,11.277
S13,younger,female,white,5,1,1.597,170.007,19.424,13.035
S13,younger,female,white,6,1,1.627,167.717,23.733,11.698
S14,older,male,black,1,0,1.625,183.378,21.094,10.174
S14,older,male,black,2,0,1.677,178.809,23.235,8.483
S14,older,male,black,3,0,1.665,158.538,26.789,9.235
S14,older,male,black,4,1,1.569,182.221,20.815,10.117
S14,older,male,black,5,1,1.682,193.909,16.037,10.523
S14,older,male,black,6,1,1.711,178.753,17.611,9.984
S15,younger,female,south_asian,1,0,1.93,202.587,18.214,8.126
S15,younger,female,south_asian,2,0,1.796,205.18,12.477,8.224
S15,younger,female,south_asian,3,0,1.802,203.733,18.971,8.997
S15,younger,female,south_asian,4,1,1.476,203.201,17.346,9.506
S15,younger,female,south_asian,5,1,1.358,201.637,32.037,11.344
S15,younger,female,south_asian,6,1,1.583,211.815,24.805,9.816
S16,older,male,white,1,0,1.597,165.697,21.696,10.209
S16,older,male,white,2,0,1.48,192.997,16.284,9.418
S16,older,male,white,3,0,1.726,190.846,19.951,9.513
S16,older,male,white,4,1,1.703,200.046,21.822,9.853
S16,older,male,white,5,1,1.608,207.077,24.453,11.563
S16,older,male,white,6,1,1.553,202.987,23.16,12.971
S17,younger,female,black,1,0,1.764,177.533,27.057,10.537
S17,younger,female,black,2,0,1.687,161.686,16.229,9.415
S17,younger,female,black,3,0,1.701,167.338,21.496,9.678
S17,younger,female,black,4,1,1.646,187.078,31.178,11.054
S17,younger,female,black,5,1,1.667,182.52,19.806,11.088
S17,younger,female,black,6,1,1.327,186.48,15.349,10.445
S18,older,male,south_asian,1,0,1.831,182.001,21.283,10.824
S18,older,male,south_asian,2,0,1.812,190.034,18.828,9.65
S18,older,male,south_asian,3,0,1.985,181.959,15.321,9.711
S18,older,male,south_asian,4,1,1.768,203.504,19.37,10.408
S18,older,male,south_asian,5,1,1.627,189.24,19.377,11.223
S18,older,male,south_asian,6,1,1.468,208.366,19.448,10.338
S19,younger,female,white,1,0,1.623,183.384,16.543,10.417
S19,younger,female,white,2,0,1.679,201.688,19.002,9.76
S19,younger,female,white,3,0,1.707,198.416,22.759,8.431
S19,younger,female,white,4,1,1.539,204.74,24.41,11.343
S19,younger,female,white,5,1,1.657,206.455,24.561,10.771
S19,younger,female,white,6,1,1.728,188.566,19.393,11.238
S20,older,male,black,1,0,1.699,168.981,22.129,10.484
S20,older,male,black,2,0,1.737,187.986,19.196,9.227
S20,older,male,black,3,0,1.916,198.352,15.263,10.303
S20,older,male,black,4,1,1.809,200.459,19.695,10.677
S20,older,male,black,5,1,1.617,206.074,15.53,10.936
S20,older,male,black,6,1,1.557,220.827,14.006,10.411
