duration_seconds,mean_f0_hz,sd_f0_hz,hnr_db,shimmer_db,cpp_db,intent_label
1.625,165.55,24.921,9.65,0.453,12.214,0
1.698,190.166,23.07,12.085,0.391,15.233,1
1.802,205.002,20.711,12.184,0.447,13.903,1
1.659,198.426,21.076,11.025,0.299,15.96,1
1.663,184.529,15.501,10.453,0.419,13.175,0
1.692,165.931,29.622,10.61,0.45,13.748,0
1.759,182.825,19.277,10.177,0.298,13.734,0
1.619,179.123,21.254,9.954,0.48,15.186,0
1.747,173.828,26.668,8.791,0.472,14.663,0
1.731,176.763,13.653,8.537,0.445,13.519,0
1.529,197.006,23.658,10.679,0.345,14.277,1
1.701,171.633,17.201,10.634,0.398,14.257,0
1.752,184.826,23.149,11.633,0.347,14.55,1
1.469,203.899,18.754,10.237,0.39,14.894,1
1.766,178.006,16.373,8.498,0.428,12.085,0
1.595,193.786,16.52,8.305,0.364,17.162,1
1.517,204.152,17.502,12.232,0.273,16.325,1
1.464,199.595,21.927,10.729,0.358,14.741,1
1.498,180.713,21.236,9.277,0.449,12.913,0
1.764,201.186,21.294,12.796,0.367,13.874,1
1.757,182.766,10.074,9.46,0.382,12.787,0
1.337,196.966,26.061,10.801,0.354,15.874,1
1.652,180.855,22.462,12.096,0.262,14.153,1
1.633,194.018,16.731,10.543,0.338,15.164,1
1.736,201.811,23.029,10.575,0.36,16.949,1
1.619,204.047,27.4,10.462,0.453,15.051,1
1.638,196.006,18.155,11.232,0.396,14.282,1
1.816,188.345,26.73,11.595,0.302,14.166,1
1.561,187.438,21.24,11.408,0.376,15.887,1
1.579,197.695,24.412,10.546,0.269,15.091,1
1.704,177.658,20.466,10.258,0.401,13.87,0
1.515,190.774,20.704,12.707,0.286,15.371,1
1.605,186.283,21.556,10.473,0.384,15.363,1
1.519,187.963,16.63,10.651,0.326,14.821,1
1.492,186.399,25.687,11.382,0.302,13.608,1
1.586,171.658,23.037,10.671,0.388,16.615,1
1.667,202.582,17.521,9.183,0.44,12.306,0
1.809,202.108,17.44,10.487,0.353,14.867,1
1.556,204.79,25.077,9.695,0.405,15.981,1
1.422,206.667,26.684,10.623,0.418,14.292,1
1.718,173.315,14.161,8.963,0.392,14.634,0
1.553,196.043,21.262,12.064,0.425,15.368,1
1.451,185.699,22.511,11.707,0.437,13.915,1
1.679,177.185,21.606,9.62,0.275,13.968,0
1.687,202.921,21.645,10.536,0.383,15.421,1
1.813,180.663,17.852,10.908,0.405,13.207,0
