speaker_id,duration_seconds,mean_f0_hz,sd_f0_hz,hnr_db,shimmer_db,cpp_db,intent_label
S01,1.807,182.599,6.599,10.941,0.414,11.934,0
S01,1.61,178.732,18.44,10.331,0.508,13.219,0
S01,1.857,152.96,13.413,8.671,0.373,13.594,0
S01,1.678,173.024,9.104,9.094,0.421,13.009,0
S01,1.685,185.279,21.426,12.018,0.34,14.683,1
S01,1.556,190.283,19.533,10.962,0.362,14.65,1
S01,1.313,178.472,29.661,11.978,0.406,15.937,1
S01,1.66,179.44,18.397,11.012,0.279,15.313,1
S02,1.85,180.506,17.147,11.538,0.368,13.465,0
S02,1.719,186.012,4.964,9.834,0.308,12.944,0
S02,1.694,180.622,20.392,9.626,0.499,11.404,0
S02,1.84,191.063,17.651,9.939,0.422,11.634,0
S02,1.583,190.092,22.104,11.141,0.268,13.36,1
S02,1.674,195.017,16.545,9.033,0.3,14.069,1
S02,1.61,187.84,20.869,11.92,0.394,15.752,1
S02,1.56,197.572,26.775,9.834,0.346,14.375,1
S03,1.768,193.941,18.365,9.049,0.401,13.523,0
S03,1.704,179.347,24.565,8.991,0.434,12.924,0
S03,1.584,190.783,21.943,8.627,0.357,11.565,0
S03,1.815,198.676,16.043,9.519,0.481,13.416,0
S03,1.437,216.433,17.546,10.509,0.361,14.17,1
S03,1.667,181.005,22.868,10.446,0.31,14.882,1
S03,1.644,204.125,22.679,10.984,0.255,13.846,1
S03,1.684,191.942,28.389,11.198,0.318,15.4,1
S04,1.728,194.605,18.799,10.372,0.446,12.011,0
S04,1.838,191.037,8.697,9.094,0.367,13.92,0
S04,1.766,184.584,16.781,9.638,0.351,12.208,0
S04,1.619,197.947,17.405,10.1,0.387,10.047,0
S04,1.692,191.126,23.097,10.488,0.388,14.678,1
S04,1.485,200.586,20.093,11.038,0.386,15.577,1
S04,1.492,205.851,24.288,10.809,0.425,17.024,1
S04,1.702,193.443,29.393,10.9,0.292,14.722,1
S05,1.565,183.432,16.361,9.676,0.397,14.304,0
S05,1.779,181.29,16.617,7.7,0.436,12.802,0
S05,1.819,163.04,19.815,10.286,0.358,13.309,0
S05,1.619,159.513,12.339,8.469,0.278,11.603,0
S05,1.646,191.145,23.523,11.561,0.267,15.258,1
S05,1.653,189.398,18.687,11.396,0.274,15.696,1
S05,1.608,165.734,32.052,10.749,0.396,16.09,1
S05,1.555,186.051,23.452,11.854,0.329,15.356,1
S06,1.645,174.363,25.203,9.362,0.416,12.501,0
S06,1.816,183.119,11.093,9.469,0.49,14.241,0
S06,1.74,173.293,17.97,10.329,0.397,13.386,0
S06,1.537,182.272,19.734,10.547,0.509,13.956,0
S06,1.609,197.827,21.656,11.139,0.285,16.032,1
S06,1.715,161.43,21.529,11.424,0.37,15.33,1
S06,1.526,182.669,21.446,11.748,0.333,13.897,1
S06,1.798,186.167,21.01,12.917,0.33,15.38,1
S07,1.912,194.067,14.424,9.064,0.415,12.113,0
S07,1.602,166.631,26.864,9.317,0.407,11.801,0
S07,1.581,188.832,24.127,10.86,0.419,14.389,0
S07,1.978,182.029,22.382,9.077,0.531,14.359,0
S07,1.517,206.916,25.558,10.584,0.367,14.879,1
S07,1.641,199.762,14.72,12.697,0.337,13.636,1
S07,1.653,186.826,23.952,10.524,0.331,14.316,1
S07,1.768,198.478,19.97,8.624,0.365,16.213,1
S08,1.806,197.741,19.697,9.065,0.468,11.933,0
S08,1.598,203.303,25.821,9.359,0.454,15.332,0
S08,1.701,194.46,20.03,8.529,0.383,14.81,0
S08,1.81,196.284,18.401,9.014,0.399,12.824,0
S08,1.491,206.473,29.071,10.268,0.367,13.124,1
S08,1.595,207.409,21.025,10.33,0.407,16.971,1
S08,1.667,202.257,15.273,11.963,0.339,16.11,1
S08,1.527,212.604,23.921,12.351,0.297,14.614,1
S09,1.874,169.37,14.554,9.815,0.4,13.353,0
S09,1.52,170.57,17.849,9.365,0.381,14.839,0
S09,1.891,173.561,18.27,8.235,0.322,11.869,0
S09,1.559,166.057,20.097,11.34,0.33,14.668,0
S09,1.39,173.463,21.681,10.452,0.391,16.09,1
S09,1.516,176.461,18.722,10.296,0.415,14.994,1
S09,1.635,162.976,18.949,12.005,0.326,15.096,1
S09,1.56,180.719,18.942,10.641,0.345,14.08,1
