duration_seconds,mean_f0_hz,sd_f0_hz,hnr_db,shimmer_db,cpp_db,intent_label
1.68,172.337,17.147,9.238,0.352,12.229,0
1.727,171.832,13.268,11.228,0.506,12.065,0
1.299,185.867,21.866,10.048,0.299,14.029,1
1.672,177.285,20.404,10.875,0.336,16.433,1
1.735,183.516,22.214,9.956,0.37,12.074,0
1.566,182.037,14.537,9.328,0.438,14.127,0
1.82,203.314,17.629,9.644,0.348,13.26,0
1.705,174.942,22.406,10.584,0.317,16.695,1
1.45,183.5,28.065,12.139,0.36,13.721,1
1.761,165.601,23.376,11.186,0.447,12.481,0
1.578,180.365,17.899,9.198,0.44,12.883,0
1.545,170.838,23.36,13.043,0.304,14.546,1
1.382,211.3,18.572,11.265,0.518,15.879,1
1.891,186.193,22.078,10.7,0.528,12.491,0
1.436,202.391,24.856,11.845,0.322,17.06,1
1.868,177.406,21.476,8.405,0.425,14.361,0
1.733,173.977,16.187,10.457,0.38,11.402,0
1.691,174.941,15.751,9.008,0.562,12.892,0
1.627,186.849,19.296,10.828,0.264,14.883,1
1.777,181.792,25.047,10.644,0.484,12.095,0
1.533,166.897,14.229,10.75,0.477,15.41,0
1.388,193.751,20.845,9.93,0.363,15.41,1
1.927,189.567,12.064,10.265,0.462,12.96,0
1.648,177.009,16.592,8.357,0.469,12.175,0
1.547,184.367,21.744,11.539,0.482,13.47,1
1.509,172.874,15.03,10.217,0.507,12.819,0
1.681,200.951,20.309,10.144,0.363,15.234,1
1.791,184.007,11.605,9.448,0.422,13.937,0
1.679,193.818,23.774,12.944,0.396,14.036,1
1.71,182.237,15.035,8.495,0.456,12.034,0
1.704,187.7,22.279,8.066,0.418,11.731,0
1.589,183.234,17.631,11.286,0.299,15.302,1
1.539,197.342,24.305,11.511,0.283,17.4,1
1.596,190.067,17.822,10.075,0.279,13.154,1
1.658,184.296,18.132,9.721,0.398,13.125,0
1.457,187.492,21.469,12.26,0.311,15.076,1
1.738,197.211,19.811,12.574,0.477,14.637,1
1.545,184.115,19.244,11.356,0.35,14.635,1
1.69,182.814,22.891,10.743,0.444,13.241,0
1.621,189.742,28.792,12.282,0.376,15.227,1
1.539,182.858,23.347,9.788,0.455,11.962,0
1.898,181.159,22.994,11.186,0.529,12.794,0
1.771,161.164,13.147,10.391,0.426,13.493,0
1.581,176.86,17.347,11.079,0.461,15.094,1
1.762,176.006,16.483,10.872,0.445,13.992,0
1.71,205.175,22.554,11.47,0.362,14.486,1
1.78,180.287,17.894,9.547,0.552,14.899,0
1.599,199.695,27.089,9.953,0.295,14.72,1
1.856,173.05,20.748,10.234,0.492,14.844,0
1.788,172.625,10.59,7.729,0.474,11.734,0
1.581,214.305,21.714,13.063,0.273,14.906,1
1.765,178.988,16.275,9.48,0.371,11.546,0
1.381,191.621,27.614,11.743,0.274,13.634,1
1.541,200.524,22.998,13.999,0.301,15.238,1
1.555,202.898,22.277,9.67,0.261,15.912,1
1.851,174.39,11.823,10.791,0.415,12.779,0
1.623,187.416,12.566,9.785,0.341,13.179,0
1.688,196.252,17.859,11.43,0.239,15.278,1
1.511,199.325,19.533,12.115,0.277,16.617,1
1.449,204.204,20.651,10.103,0.379,14.114,1
1.582,182.236,22.253,9.451,0.473,11.013,0
1.609,180.59,21.458,9.856,0.501,10.08,0
1.607,192.155,16.01,11.569,0.339,15.359,1
1.716,207.26,21.157,9.622,0.304,13.888,1
1.89,176.135,20.325,11.204,0.467,12.701,0
1.829,171.588,20.136,8.844,0.395,14.215,0
1.628,189.934,20.105,9.848,0.483,13.814,0
1.349,210.371,12.934,10.296,0.279,15.554,1
1.485,184.768,25.001,10.793,0.274,13.746,1
1.621,175.076,15.126,8.288,0.486,13.011,0
1.578,158.479,16.644,9.469,0.417,15.321,0
1.804,175.145,13.653,9.601,0.349,12.072,0
2.019,163.98,20.007,10.384,0.374,11.087,0
1.476,187.577,27.272,11.253,0.448,14.792,1
1.764,171.518,12.845,8.968,0.493,12.709,0
1.752,163.475,7.457,10.717,0.42,15.302,0
1.831,189.058,20.285,9.328,0.424,12.038,0
1.856,181.26,18.683,8.475,0.404,12.036,0
1.603,198.414,15.043,12.134,0.336,16.006,1
1.618,178.076,18.649,12.022,0.386,13.328,1
1.674,167.939,20.65,8.343,0.458,13.579,0
1.772,175.044,20.496,8.914,0.481,12.576,0
1.499,179.849,18.813,10.647,0.372,16.528,1
1.738,170.871,16.815,7.87,0.408,11.208,0
1.656,191.183,22.078,12.835,0.366,15.297,1
1.718,204.863,23.57,11.413,0.364,16.531,1
1.656,187.046,27.511,13.863,0.375,14.095,1
1.724,171.752,15.674,8.718,0.453,13.658,0
1.378,199.327,18.152,10.337,0.306,15.032,1
1.443,200.772,27.96,12.424,0.264,13.589,1
1.533,196.847,26.451,13.374,0.381,14.899,1
1.586,192.775,13.621,9.521,0.398,14.537,0
1.849,185.644,21.335,10.825,0.473,13.224,0
1.744,202.82,23.654,11.208,0.407,14.839,1
1.513,176.58,15.32,11.066,0.236,15.12,1
1.619,181.135,19.714,9.472,0.516,11.518,0
1.696,182.116,27.231,10.394,0.178,16.611,1
1.644,156.468,18.545,8.083,0.366,12.675,0
1.409,194.07,17.957,11.532,0.341,15.084,1
1.411,170.869,20.043,10.19,0.454,12.703,0
1.645,199.045,23.784,11.811,0.308,14.914,1
1.576,192.093,14.752,9.513,0.466,14.576,0
1.783,183.738,23.522,9.798,0.435,13.769,0
1.76,204.668,17.244,11.998,0.405,14.393,1
1.614,176.43,25.979,11.447,0.392,14.121,1
1.767,179.871,31.24,7.708,0.362,14.085,0
1.596,176.897,20.106,9.614,0.401,11.801,0
1.923,168.075,23.911,10.075,0.426,13.117,0
1.695,191.831,19.879,11.458,0.336,15.152,1
1.729,185.564,10.144,10.142,0.503,14.483,0
1.672,166.721,20.666,9.635,0.487,13.632,0
1.549,194.157,21.71,9.52,0.35,12.651,0
1.582,211.871,21.21,10.632,0.289,15.707,1
1.741,179.864,20.379,13.064,0.372,16.242,1
1.491,171.406,19.596,11.218,0.351,14.144,1
1.588,204.018,14.545,12.335,0.153,15.529,1
1.668,175.922,16.168,10.517,0.418,12.988,0
1.686,187.128,12.387,9.786,0.511,12.206,0
1.642,155.759,22.386,10.241,0.46,13.092,0
1.731,179.796,21.579,11.415,0.427,12.268,0
1.633,167.135,23.433,10.166,0.392,12.026,0
1.755,184.656,12.921,8.503,0.371,12.991,0
1.699,207.193,27.05,11.71,0.331,14.281,1
1.553,171.152,13.642,11.691,0.349,15.709,1
1.648,161.838,16.337,11.066,0.516,12.292,0
1.715,194.257,24.917,11.443,0.406,13.875,1
1.497,194.158,18.027,11.21,0.406,12.58,1
1.906,170.204,10.023,9.629,0.44,15.411,0
1.627,172.988,15.966,9.874,0.426,14.726,0
1.884,169.665,19.855,9.679,0.344,12.678,0
1.443,195.764,14.013,11.575,0.309,13.945,1
1.433,206.305,21.778,10.892,0.253,14.669,1
1.69,175.791,21.497,8.402,0.414,12.675,0
1.528,196.187,15.173,10.278,0.278,16.039,1
1.858,185.508,14.463,10.825,0.457,12.278,0
1.757,185.487,17.858,10.263,0.42,12.507,0
1.738,163.442,20.274,8.626,0.46,14.481,0
1.819,168.286,14.026,8.007,0.445,11.276,0
1.827,182.57,14.96,10.041,0.411,14.326,0
1.704,184.622,22.021,10.47,0.251,13.923,1
1.421,191.511,24.196,11.186,0.349,14.289,1
1.596,205.275,27.827,12.114,0.46,14.512,1
1.761,187.81,16.839,10.878,0.426,13.744,1
1.7,188.751,22.892,8.878,0.404,14.209,1
1.509,193.541,17.148,10.203,0.258,15.796,1
1.65,181.124,22.422,10.53,0.37,13.519,1
1.705,196.627,21.033,11.363,0.431,15.201,1
1.978,163.146,23.323,10.646,0.516,14.926,0
1.845,174.67,15.867,8.435,0.541,11.222,0
1.484,211.152,29.365,10.16,0.408,14.399,1
1.55,192.24,18.621,11.197,0.336,15.835,1
1.212,186.833,26.246,11.604,0.396,13.993,1
1.575,174.836,13.74,9.228,0.429,12.525,0
1.707,192.866,17.791,11.78,0.255,14.022,1
1.527,196.601,14.905,11.751,0.388,15.389,1
1.657,157.259,6.478,8.258,0.458,12.155,0
1.705,193.951,15.107,12.775,0.263,15.526,1
1.7,175.725,21.937,9.196,0.341,15.23,0
1.75,163.52,19.571,9.902,0.454,12.075,0
1.703,189.984,16.798,9.128,0.377,12.178,0
1.571,198.424,26.024,11.158,0.346,15.177,1
1.409,169.081,19.676,11.527,0.385,15.261,1
1.787,148.81,15.735,9.496,0.366,13.981,0
1.771,171.1,14.365,8.57,0.399,12.859,0
1.673,200.057,25.35,11.741,0.416,15.679,1
1.647,214.092,20.841,10.614,0.382,15.544,1
1.683,177.799,25.004,11.342,0.327,14.833,1
1.696,183.903,20.561,11.921,0.355,13.32,1
1.673,177.382,21.304,8.345,0.387,13.309,0
1.699,179.785,15.364,9.846,0.395,14.775,0
1.473,198.46,17.715,10.244,0.345,16.826,1
1.651,199.627,21.19,11.265,0.415,14.399,1
1.617,163.633,16.058,10.736,0.438,12.697,0
1.449,180.497,21.826,11.115,0.346,16.427,1
1.572,173.678,16.864,9.682,0.438,12.438,0
1.538,180.533,19.979,11.6,0.415,15.049,1
1.761,185.926,26.385,12.198,0.417,14.178,1
1.804,188.836,29.958,10.831,0.337,14.167,1
1.587,200.467,17.763,10.895,0.329,15.686,1
1.715,167.898,10.396,9.369,0.412,11.359,0
1.791,178.961,22.725,10.191,0.47,13.74,0
1.884,189.799,21.125,10.697,0.325,14.283,1
1.531,189.975,18.678,11.372,0.407,17.87,1
1.56,176.259,14.06,11.364,0.475,12.886,0
1.629,165.394,24.881,9.862,0.423,14.076,0
1.774,177.788,17.858,8.731,0.389,12.903,0
1.715,184.456,21.149,10.796,0.345,14.857,1
1.561,167.542,15.093,9.812,0.468,13.212,0
1.59,187.669,24.575,9.912,0.285,15.201,1
1.722,164.816,15.658,9.501,0.428,14.139,0
1.576,181.748,20.759,11.058,0.359,14.351,1
1.809,191.005,17.936,8.467,0.403,13.271,0
1.64,171.513,14.259,10.651,0.432,13.308,0
1.557,205.66,22.573,10.7,0.295,17.492,1
1.561,197.331,24.37,9.605,0.366,14.007,1
1.825,169.871,19.885,9.538,0.505,14.07,0
1.675,172.237,30.014,8.215,0.41,13.408,0
1.772,182.716,22.679,10.635,0.397,13.335,0
1.63,211.462,20.314,11.068,0.407,12.916,1
1.458,190.51,15.99,11.207,0.309,17.441,1
1.659,183.744,19.585,10.433,0.462,12.862,0
1.617,197.94,19.334,10.587,0.47,14.581,1
1.743,182.505,19.713,11.624,0.277,15.322,1
1.791,203.162,23.155,10.561,0.439,11.946,0
1.572,195.267,22.267,11.495,0.19,14.611,1
1.749,176.089,16.962,9.428,0.405,14.499,0
1.66,165.918,17.566,9.999,0.356,13.847,0
1.548,179.222,30.047,10.929,0.394,15.331,1
1.765,182.696,11.663,10.818,0.385,13.354,0
1.363,181.456,13.833,11.307,0.303,14.228,1
1.523,165.461,14.54,9.725,0.505,13.984,0
1.514,215.643,24.229,11.17,0.253,15.702,1
1.802,188.346,18.244,10.514,0.324,14.682,1
1.683,191.769,25.181,11.974,0.391,13.903,1
1.85,162.665,22.51,8.615,0.493,13.118,0
1.615,182.69,27.991,10.71,0.338,15.515,1
1.63,203.512,20.372,9.853,0.278,14.858,1
1.509,177.588,26.71,8.543,0.437,14.047,0
1.463,206.851,29.252,12.354,0.364,15.191,1
1.632,192.339,19.132,12.098,0.394,16.832,1
