utterance_id,rater_id,trust_rating
U001,R01,5
U001,R02,6
U001,R03,3
U001,R04,5
U001,R05,5
U001,R06,6
U001,R07,4
U001,R08,5
U001,R09,3
U001,R10,5
U001,R11,6
U001,R12,6
U002,R01,3
U002,R02,3
U002,R03,4
U002,R04,4
U002,R05,2
U002,R06,4
U002,R07,2
U002,R08,3
U002,R09,4
U002,R10,2
U002,R11,4
U002,R12,4
U003,R01,3
U003,R02,3
U003,R03,3
U003,R04,4
U003,R05,3
U003,R06,4
U003,R07,5
U003,R08,5
U003,R09,3
U003,R10,2
U003,R11,5
U003,R12,3
U004,R01,6
U004,R02,5
U004,R03,5
U004,R04,6
U004,R05,6
U004,R06,6
U004,R07,7
U004,R08,5
U004,R09,5
U004,R10,4
U004,R11,5
U004,R12,6
U005,R01,7
U005,R02,6
U005,R03,6
U005,R04,6
U005,R05,5
U005,R06,6
U005,R07,4
U005,R08,5
U005,R09,5
U005,R10,5
U005,R11,7
U005,R12,4
U006,R01,3
U006,R02,4
U006,R03,4
U006,R04,3
U006,R05,4
U006,R06,4
U006,R07,4
U006,R08,4
U006,R09,3
U006,R10,4
U006,R11,4
U006,R12,3
U007,R01,5
U007,R02,5
U007,R03,4
U007,R04,6
U007,R05,6
U007,R06,6
U007,R07,5
U007,R08,6
U007,R09,6
U007,R10,5
U007,R11,7
U007,R12,6
U008,R01,4
U008,R02,4
U008,R03,6
U008,R04,3
U008,R05,6
U008,R06,4
U008,R07,6
U008,R08,4
U008,R09,5
U008,R10,7
U008,R11,5
U008,R12,5
U009,R01,5
U009,R02,4
U009,R03,5
U009,R04,5
U009,R05,5
U009,R06,6
U009,R07,6
U009,R08,6
U009,R09,5
U009,R10,6
U009,R11,4
U009,R12,5
U010,R01,5
U010,R02,5
U010,R03,4
U010,R04,7
U010,R05,6
U010,R06,5
U010,R07,6
U010,R08,5
U010,R09,5
U010,R10,6
U010,R11,6
U010,R12,6
U011,R01,3
U011,R02,4
U011,R03,4
U011,R04,4
U011,R05,4
U011,R06,3
U011,R07,4
U011,R08,4
U011,R09,3
U011,R10,2
U011,R11,3
U011,R12,4
U012,R01,1
U012,R02,1
U012,R03,3
U012,R04,1
U012,R05,2
U012,R06,1
U012,R07,1
U012,R08,1
U012,R09,1
U012,R10,4
U012,R11,1
U012,R12,1
U013,R01,2
U013,R02,3
U013,R03,2
U013,R04,4
U013,R05,4
U013,R06,5
U013,R07,4
U013,R08,4
U013,R09,4
U013,R10,6
U013,R11,3
U013,R12,4
U014,R01,5
U014,R02,3
U014,R03,3
U014,R04,5
U014,R05,4
U014,R06,3
U014,R07,5
U014,R08,3
U014,R09,3
U014,R10,5
U014,R11,4
U014,R12,5
U015,R01,4
U015,R02,3
U015,R03,3
U015,R04,2
U015,R05,1
U015,R06,3
U015,R07,2
U015,R08,2
U015,R09,2
U015,R10,1
U015,R11,6
U015,R12,3
U016,R01,4
U016,R02,5
U016,R03,5
U016,R04,4
U016,R05,5
U016,R06,4
U016,R07,5
U016,R08,4
U016,R09,4
U016,R10,5
U016,R11,6
U016,R12,5
U017,R01,4
U017,R02,5
U017,R03,6
U017,R04,6
U017,R05,5
U017,R06,5
U017,R07,6
U017,R08,5
U017,R09,5
U017,R10,4
U017,R11,7
U017,R12,6
U018,R01,2
U018,R02,3
U018,R03,1
U018,R04,2
U018,R05,3
U018,R06,3
U018,R07,3
U018,R08,3
U018,R09,4
U018,R10,4
U018,R11,2
U018,R12,4
U019,R01,3
U019,R02,3
U019,R03,3
U019,R04,2
U019,R05,2
U019,R06,3
U019,R07,3
U019,R08,4
U019,R09,4
U019,R10,4
U019,R11,1
U019,R12,4
U020,R01,5
U020,R02,5
U020,R03,6
U020,R04,3
U020,R05,4
U020,R06,4
U020,R07,5
U020,R08,4
U020,R09,4
U020,R10,5
U020,R11,5
U020,R12,4
U021,R01,6
U021,R02,7
U021,R03,6
U021,R04,4
U021,R05,5
U021,R06,6
U021,R07,5
U021,R08,6
U021,R09,6
U021,R10,7
U021,R11,7
U021,R12,6
U022,R01,5
U022,R02,3
U022,R03,4
U022,R04,4
U022,R05,2
U022,R06,4
U022,R07,3
U022,R08,2
U022,R09,4
U022,R10,2
U022,R11,4
U022,R12,3
U023,R01,7
U023,R02,6
U023,R03,6
U023,R04,6
U023,R05,6
U023,R06,6
U023,R07,7
U023,R08,6
U023,R09,4
U023,R10,6
U023,R11,5
U023,R12,6
U024,R01,3
U024,R02,4
U024,R03,4
U024,R04,4
U024,R05,3
U024,R06,4
U024,R07,4
U024,R08,3
U024,R09,4
U024,R10,3
U024,R11,3
U024,R12,4
U025,R01,4
U025,R02,4
U025,R03,4
U025,R04,4
U025,R05,4
U025,R06,4
U025,R07,4
U025,R08,3
U025,R09,5
U025,R10,4
U025,R11,3
U025,R12,4
U026,R01,6
U026,R02,6
U026,R03,6
U026,R04,6
U026,R05,6
U026,R06,6
U026,R07,6
U026,R08,6
U026,R09,5
U026,R10,4
U026,R11,3
U026,R12,6
U027,R01,3
U027,R02,3
U027,R03,5
U027,R04,4
U027,R05,5
U027,R06,4
U027,R07,3
U027,R08,4
U027,R09,4
U027,R10,5
U027,R11,4
U027,R12,4
U028,R01,2
U028,R02,5
U028,R03,6
U028,R04,5
U028,R05,5
U028,R06,3
U028,R07,4
U028,R08,3
U028,R09,3
U028,R10,3
U028,R11,5
U028,R12,3
U029,R01,3
U029,R02,2
U029,R03,2
U029,R04,5
U029,R05,4
U029,R06,3
U029,R07,3
U029,R08,4
U029,R09,4
U029,R10,3
U029,R11,4
U029,R12,2
U030,R01,4
U030,R02,2
U030,R03,4
U030,R04,5
U030,R05,5
U030,R06,7
U030,R07,5
U030,R08,6
U030,R09,5
U030,R10,5
U030,R11,5
U030,R12,5
U031,R01,5
U031,R02,5
U031,R03,5
U031,R04,5
U031,R05,6
U031,R06,7
U031,R07,6
U031,R08,5
U031,R09,6
U031,R10,6
U031,R11,6
U031,R12,6
U032,R01,3
U032,R02,4
U032,R03,3
U032,R04,4
U032,R05,3
U032,R06,3
U032,R07,3
U032,R08,1
U032,R09,1
U032,R10,3
U032,R11,3
U032,R12,2
U033,R01,6
U033,R02,5
U033,R03,5
U033,R04,5
U033,R05,5
U033,R06,6
U033,R07,6
U033,R08,4
U033,R09,5
U033,R10,6
U033,R11,5
U033,R12,6
U034,R01,2
U034,R02,2
U034,R03,4
U034,R04,1
U034,R05,1
U034,R06,2
U034,R07,1
U034,R08,4
