utterance_id,speaker_id,duration_seconds,mean_f0_hz,sd_f0_hz,hnr_db,shimmer_db,cpp_db,mean_rating,std_rating,n_ratings,intent_label
U001,S01,1.722,183.96,21.531,10.355,0.447,12.604,4.314,1.152,12,1
U002,S01,1.7,187.748,14.617,9.145,0.324,12.705,2.531,0.769,9,0
U003,S01,1.625,193.322,21.789,10.349,0.364,14.04,4.937,0.896,15,1
U004,S01,1.779,182.839,21.524,10.909,0.394,14.531,4.29,0.815,10,1
U005,S01,1.582,153.901,20.037,9.528,0.389,12.548,2.437,0.673,10,0
U006,S01,1.706,171.202,10.625,10.113,0.4,10.721,2.244,0.376,13,0
U007,S01,1.443,186.528,17.665,9.513,0.337,15.9,4.095,0.718,14,1
U008,S01,1.661,181.812,20.841,10.725,0.435,13.542,5.059,1.043,14,1
U009,S01,1.733,188.854,21.57,10.337,0.396,16.529,4.025,0.982,11,1
U010,S01,1.686,181.348,6.249,9.213,0.548,12.885,2.995,1.291,13,0
U011,S02,1.723,199.473,20.413,10.727,0.303,13.907,5.829,0.665,14,1
U012,S02,1.482,189.137,20.349,12.017,0.378,14.477,4.557,0.878,13,1
U013,S02,1.529,181.714,23.961,11.415,0.443,15.025,5.352,0.578,8,1
U014,S02,1.652,188.15,21.797,12.161,0.287,16.086,4.329,1.116,14,1
U015,S02,1.619,171.143,23.089,9.927,0.38,15.093,6.359,0.316,8,1
U016,S02,1.816,169.99,16.364,9.431,0.352,14.791,2.838,0.701,8,0
U017,S02,1.6,181.629,21.044,11.66,0.355,14.279,5.619,0.215,13,1
U018,S02,1.619,203.195,31.447,11.516,0.344,15.149,4.805,1.044,15,1
U019,S02,1.578,187.591,14.657,11.071,0.418,15.865,6.974,0.532,11,1
U020,S02,1.922,187.473,20.26,10.544,0.479,14.333,4.079,1.197,8,1
U021,S03,1.775,181.793,20.018,9.313,0.418,11.467,3.848,0.784,12,0
U022,S03,1.572,195.648,22.851,10.357,0.419,13.498,2.637,0.437,12,0
U023,S03,1.992,203.203,18.271,9.618,0.48,13.235,3.505,1.292,10,0
U024,S03,1.702,192.57,19.506,10.655,0.471,13.017,3.704,0.565,9,0
U025,S03,1.501,197.736,22.713,11.21,0.425,13.691,5.181,1.142,12,1
U026,S03,1.501,201.267,28.931,11.423,0.417,15.517,4.696,1.039,8,1
U027,S03,1.513,198.344,26.506,11.045,0.378,12.931,3.51,1.081,9,0
U028,S03,1.511,187.615,13.792,10.462,0.447,13.23,3.861,0.999,8,0
U029,S03,1.69,177.38,21.584,10.635,0.464,15.558,2.901,1.168,10,0
U030,S03,1.639,206.977,15.848,10.253,0.443,12.93,3.004,0.695,15,0
U031,S04,1.477,196.857,15.565,8.941,0.422,14.887,3.196,0.684,10,0
U032,S04,1.396,211.339,23.218,9.435,0.365,15.939,4.74,1.276,9,1
U033,S04,1.453,218.343,19.23,11.481,0.375,15.803,5.56,0.776,12,1
U034,S04,1.749,210.168,15.692,10.027,0.471,15.747,3.868,0.885,8,0
U035,S04,1.416,208.659,21.233,10.873,0.341,13.368,5.446,0.788,11,1
U036,S04,1.571,214.912,19.563,11.734,0.345,14.911,4.518,1.285,8,1
U037,S04,1.558,221.613,20.474,10.241,0.292,14.81,5.514,0.63,14,1
U038,S04,1.607,195.905,25.629,10.649,0.304,15.715,4.844,0.659,14,1
U039,S04,1.507,223.33,20.539,11.375,0.38,15.287,5.212,0.27,12,1
U040,S04,1.584,197.75,17.255,9.05,0.354,13.182,2.349,0.711,8,0
U041,S05,1.454,223.496,20.685,10.731,0.272,15.523,4.79,0.717,11,1
U042,S05,1.566,217.343,17.898,11.966,0.341,13.739,5.232,0.77,8,1
U043,S05,1.602,198.271,19.891,7.73,0.385,12.252,3.58,0.783,11,0
U044,S05,1.633,210.465,20.813,12.959,0.334,16.768,4.653,1.081,10,1
U045,S05,1.835,204.307,16.35,10.571,0.407,14.664,2.713,0.693,12,0
U046,S05,1.55,202.298,17.815,10.798,0.466,11.853,2.713,0.435,11,0
U047,S05,1.682,195.249,19.491,10.97,0.491,15.138,2.081,0.549,10,0
U048,S05,1.709,201.084,22.246,11.572,0.324,15.556,4.464,0.511,14,1
U049,S05,1.587,209.661,32.619,11.481,0.382,14.261,5.104,0.686,14,1
U050,S05,1.651,194.365,13.695,9.208,0.349,12.548,3.066,0.984,8,0
U051,S06,1.574,196.156,22.061,10.553,0.343,15.591,5.292,0.675,11,1
U052,S06,1.527,184.949,17.853,10.117,0.359,14.899,5.608,0.298,11,1
U053,S06,1.849,170.991,22.143,10.312,0.504,15.262,3.638,1.124,14,0
U054,S06,1.644,191.436,12.704,11.699,0.494,13.068,1.712,0.348,15,0
U055,S06,1.664,190.938,26.322,11.621,0.474,15.926,4.97,0.963,13,1
U056,S06,1.618,188.358,13.623,9.499,0.434,12.384,3.91,1.169,8,0
U057,S06,1.585,185.428,18.948,10.397,0.315,15.916,5.895,0.508,15,1
U058,S06,1.611,191.81,17.991,11.309,0.369,14.742,6.015,0.49,13,1
U059,S06,1.587,174.672,19.363,13.675,0.413,15.885,5.7,0.7,8,1
U060,S06,1.708,168.016,18.064,9.92,0.472,13.549,3.634,1.127,8,0
U061,S07,1.796,180.426,18.6,11.873,0.36,17.403,5.32,0.785,14,1
U062,S07,1.648,179.757,22.966,8.938,0.473,12.736,1.437,0.344,11,0
U063,S07,1.612,191.767,26.955,10.369,0.387,14.274,5.792,0.544,10,1
U064,S07,1.428,196.524,18.727,10.66,0.355,16.386,5.793,0.608,11,1
U065,S07,1.84,170.583,11.967,10.13,0.385,13.699,2.746,0.311,15,0
U066,S07,1.452,192.845,24.814,9.983,0.425,14.639,5.947,0.756,13,1
U067,S07,1.676,204.877,20.896,10.314,0.276,12.641,4.186,1.246,15,1
U068,S07,1.469,190.193,17.284,8.83,0.275,14.016,5.032,1.072,10,1
U069,S07,1.798,185.781,19.195,7.611,0.468,13.102,2.522,0.36,15,0
U070,S07,1.791,220.58,14.653,11.701,0.404,13.43,5.681,0.458,13,1
U071,S08,1.51,191.483,20.767,10.255,0.522,13.452,3.65,1.16,9,0
U072,S08,1.453,192.002,25.025,12.38,0.308,15.84,6.226,0.789,14,1
U073,S08,1.616,204.603,18.037,10.26,0.295,15.588,4.132,1.102,10,1
U074,S08,1.689,190.417,15.691,8.797,0.345,13.822,3.852,0.521,13,0
U075,S08,1.622,185.489,18.177,11.102,0.368,13.889,3.356,0.56,11,0
U076,S08,1.8,200.331,14.411,10.005,0.432,12.594,2.494,0.737,9,0
U077,S08,1.78,182.191,10.201,9.06,0.442,13.621,3.263,0.933,14,0
U078,S08,1.685,195.436,23.325,10.683,0.267,14.61,5.282,0.327,11,1
U079,S08,1.45,185.322,24.36,12.361,0.413,16.012,4.272,0.521,15,1
U080,S08,1.626,197.693,21.81,9.858,0.458,13.152,2.083,0.368,10,0
U081,S09,1.517,186.547,21.944,10.772,0.321,14.873,4.97,0.889,10,1
U082,S09,1.668,212.96,32.609,12.066,0.395,15.786,4.262,0.826,9,1
U083,S09,1.961,203.718,17.816,9.498,0.419,12.556,2.519,0.499,9,0
U084,S09,1.718,224.539,21.89,11.767,0.241,16.934,4.905,0.763,14,1
U085,S09,1.545,206.853,21.366,12.048,0.316,16.562,5.667,0.277,12,1
U086,S09,1.618,205.4,19.789,10.771,0.323,15.95,4.824,0.508,9,1
U087,S09,1.765,190.557,13.56,9.748,0.446,12.489,1.477,0.347,14,0
U088,S09,1.807,183.479,14.082,10.79,0.369,11.792,3.562,0.734,8,0
U089,S09,1.821,204.966,24.919,10.678,0.448,15.389,4.897,1.084,12,1
U090,S09,1.877,196.537,9.38,9.617,0.401,12.202,3.142,0.644,13,0
U091,S10,1.824,197.451,19.241,9.488,0.39,12.7,3.864,0.92,9,0
U092,S10,1.526,203.73,14.805,11.394,0.352,17.35,4.847,1.13,9,1
U093,S10,1.541,204.513,17.446,9.482,0.466,13.991,2.326,0.21,15,0
U094,S10,1.756,220.141,24.298,10.255,0.282,16.261,5.111,0.737,13,1
U095,S10,1.491,208.903,25.107,10.335,0.383,14.936,6.13,0.304,12,1
U096,S10,1.742,189.994,17.316,9.523,0.495,13.955,2.276,0.587,10,0
U097,S10,1.477,216.989,23.948,10.947,0.21,15.492,4.939,1.265,14,1
U098,S10,1.567,204.63,26.231,10.211,0.351,14.628,4.666,0.557,10,1
U099,S10,1.7,210.049,10.503,11.199,0.402,13.625,2.854,1.262,11,0
U100,S10,1.565,221.81,22.154,10.818,0.304,15.735,5.254,0.744,13,1
U101,S11,1.404,183.312,21.963,12.037,0.434,14.598,4.502,1.044,15,1
U102,S11,1.563,182.793,16.316,10.458,0.421,17.405,4.988,0.508,8,1
U103,S11,1.865,169.051,15.751,11.338,0.402,13.724,3.488,0.995,12,0
U104,S11,1.624,178.272,27.093,10.262,0.378,15.089,4.316,1.269,11,1
U105,S11,1.552,168.419,22.876,11.035,0.369,15.415,4.034,0.65,9,1
U106,S11,1.542,208.678,22.401,12.795,0.374,14.628,5.227,0.543,11,1
U107,S11,1.776,191.844,17.964,11.957,0.223,15.199,5.184,0.57,14,1
U108,S11,1.737,169.033,19.321,10.256,0.481,10.472,3.719,0.934,12,0
U109,S11,1.493,165.917,16.278,10.543,0.428,13.391,1.974,0.235,12,0
U110,S11,1.687,175.712,18.149,9.189,0.501,13.779,3.125,0.561,10,0
U111,S12,1.718,187.697,19.366,11.496,0.468,14.001,3.681,0.837,11,0
U112,S12,1.455,191.369,17.874,12.395,0.424,16.947,5.799,0.761,14,1
U113,S12,1.567,166.87,17.993,11.414,0.429,12.087,3.715,0.559,11,0
U114,S12,1.691,173.707,12.702,11.24,0.314,12.183,2.307,0.564,12,0
U115,S12,1.505,213.787,25.345,13.33,0.369,16.801,4.618,1.015,9,1
U116,S12,1.638,187.358,22.385,10.813,0.387,12.965,3.462,1.266,15,0
U117,S12,1.414,189.142,17.052,12.123,0.324,14.764,6.718,0.494,8,1
U118,S12,1.754,190.514,17.616,12.038,0.273,15.082,4.032,1.186,15,1
U119,S12,1.551,191.468,26.325,11.703,0.356,15.065,4.019,0.933,11,1
U120,S12,1.73,181.263,15.376,13.02,0.378,13.099,4.754,0.533,8,1
U121,S13,1.722,197.303,27.252,9.873,0.432,15.042,4.698,0.629,12,1
U122,S13,1.937,202.686,16.748,9.443,0.509,14.454,2.486,0.488,11,0
U123,S13,1.516,190.194,16.787,8.924,0.51,12.347,2.431,0.569,12,0
U124,S13,1.713,197.962,22.996,10.437,0.498,15.402,6.455,0.261,10,1
U125,S13,1.559,209.384,16.411,11.133,0.514,16.272,4.494,1.276,15,1
U126,S13,1.638,199.841,21.654,10.694,0.274,16.895,5.351,0.346,9,1
