utterance_id,speaker_id,duration_seconds,mean_f0_hz,sd_f0_hz,hnr_db,shimmer_db,cpp_db,mean_rating,std_rating,n_ratings,intent_label
U001,S01,1.639,192.184,20.173,10.188,0.348,14.493,5.137,0.383,12,1
U002,S01,1.579,188.59,22.128,9.868,0.339,14.647,4.237,0.484,16,1
U003,S01,1.734,167.587,15.424,7.456,0.414,12.858,2.618,0.206,17,0
U004,S01,1.587,193.405,25.562,10.283,0.39,12.888,4.947,0.748,15,1
U005,S01,1.385,176.488,29.029,9.569,0.508,15.26,5.949,0.365,13,1
U006,S01,1.813,172.998,19.679,9.738,0.388,14.958,1.566,0.247,11,0
U007,S01,1.538,178.35,23.277,10.637,0.424,12.726,6.567,0.245,10,1
U008,S01,1.572,164.86,23.113,10.63,0.307,14.068,6.19,0.5,17,1
U009,S01,1.663,175.889,10.001,8.525,0.483,12.899,3.468,0.505,15,0
U010,S01,1.647,157.199,13.783,7.429,0.364,13.523,2.484,0.21,17,0
U011,S01,1.549,172.29,22.932,9.2,0.308,14.403,4.812,1.098,13,1
U012,S01,1.622,197.651,19.926,8.05,0.367,13.324,4.545,0.528,15,1
U013,S02,1.673,184.81,8.34,10.718,0.409,11.706,3.529,0.715,15,0
U014,S02,1.502,163.261,24.656,9.843,0.368,12.901,2.903,0.537,10,0
U015,S02,1.614,180.734,24.203,10.789,0.396,16.965,6.047,0.321,12,1
U016,S02,1.602,186.46,22.496,9.637,0.41,13.561,3.315,0.893,13,0
U017,S02,1.591,193.141,18.841,11.026,0.35,13.945,4.973,0.408,14,1
U018,S02,1.637,193.496,19.572,10.934,0.354,14.971,4.281,0.804,17,1
U019,S02,1.769,167.845,17.124,10.151,0.422,13.149,1.617,0.313,10,0
U020,S02,1.941,177.087,17.921,8.767,0.481,12.787,3.405,1.027,10,0
U021,S02,1.801,178.495,18.723,9.553,0.358,13.852,3.874,0.611,15,0
U022,S02,1.612,183.229,24.71,12.056,0.466,14.996,1.508,0.57,16,0
U023,S02,1.75,185.265,22.194,8.198,0.396,13.772,2.777,0.286,10,0
U024,S02,1.586,176.714,17.531,9.81,0.374,12.828,3.104,0.542,13,0
U025,S03,1.513,196.518,18.838,10.216,0.378,14.209,4.772,0.58,12,1
U026,S03,1.699,188.805,16.979,10.453,0.366,12.101,3.577,0.846,12,0
U027,S03,1.336,195.348,22.093,11.25,0.388,14.645,4.839,0.517,13,1
U028,S03,1.658,207.952,20.215,11.597,0.36,15.836,5.206,0.342,13,1
U029,S03,1.509,202.053,18.895,11.547,0.344,16.297,4.945,1.022,12,1
U030,S03,1.576,190.991,17.44,10.56,0.336,14.171,4.698,0.435,11,1
U031,S03,1.709,204.335,20.534,12.721,0.393,14.758,5.163,0.632,16,1
U032,S03,1.695,196.965,14.852,10.382,0.388,14.275,2.81,0.378,17,0
U033,S03,1.748,183.017,28.99,10.526,0.381,15.317,4.931,0.861,16,1
U034,S03,1.483,177.38,11.025,10.608,0.451,14.173,2.244,0.619,13,0
U035,S03,1.671,184.667,22.48,10.216,0.399,16.584,4.67,0.627,13,1
U036,S03,1.76,195.892,15.745,11.215,0.314,15.89,4.479,0.527,17,1
U037,S04,1.623,208.968,20.06,11.904,0.361,14.972,4.666,0.892,14,1
U038,S04,1.688,204.805,18.853,11.33,0.319,14.302,4.2,0.678,16,1
U039,S04,1.63,202.141,20.758,12.038,0.36,14.74,6.57,0.625,13,1
U040,S04,1.717,200.075,24.383,10.818,0.384,15.74,4.927,0.548,15,1
U041,S04,1.673,205.252,20.016,11.529,0.359,13.144,6.719,0.348,16,1
U042,S04,1.494,186.301,20.145,10.102,0.39,14.603,5.08,0.251,13,1
U043,S04,1.494,200.597,27.532,10.95,0.346,15.087,5.572,0.345,14,1
U044,S04,1.461,207.777,17.733,12.268,0.393,16.492,4.175,0.466,10,1
U045,S04,1.69,206.144,18.916,11.508,0.445,15.394,4.496,1.084,11,1
U046,S04,1.518,197.575,23.201,11.651,0.444,15.369,5.403,0.203,16,1
U047,S04,1.652,208.697,23.126,11.785,0.413,13.876,4.457,0.813,12,1
U048,S04,1.695,202.681,22.101,12.15,0.334,15.698,4.718,0.832,16,1
U049,S05,1.771,196.523,21.856,9.382,0.516,14.099,3.647,1.086,10,0
U050,S05,1.676,199.756,17.293,9.834,0.48,14.396,2.392,0.446,10,0
U051,S05,1.567,222.245,27.592,10.486,0.354,16.112,5.421,0.426,12,1
U052,S05,1.637,208.312,25.915,10.623,0.428,16.217,5.241,0.37,13,1
U053,S05,1.724,195.976,18.962,7.591,0.38,13.894,3.372,1.064,14,0
U054,S05,1.636,213.784,19.817,10.476,0.337,15.031,4.163,0.585,10,1
U055,S05,1.788,199.974,17.794,9.193,0.428,11.981,3.385,1.02,17,0
U056,S05,1.638,202.868,16.691,10.87,0.335,14.59,4.433,0.885,14,1
U057,S05,1.648,187.501,15.275,10.104,0.459,12.656,2.267,0.456,17,0
U058,S05,1.764,208.13,21.057,9.632,0.475,12.983,1.92,0.331,15,0
U059,S05,1.75,204.086,20.142,10.073,0.319,15.103,5.566,0.659,12,1
U060,S05,1.723,187.089,17.976,9.186,0.447,15.208,1.886,0.664,11,0
U061,S06,1.505,205.127,20.118,9.906,0.359,14.766,5.213,0.236,12,1
U062,S06,1.884,167.093,23.958,9.74,0.455,12.76,3.31,0.454,17,0
U063,S06,1.634,184.214,18.383,11.079,0.366,16.466,6.153,0.554,15,1
U064,S06,1.831,194.905,15.117,9.207,0.488,12.278,3.108,0.881,14,0
U065,S06,1.622,164.271,16.572,9.016,0.55,14.714,3.922,1.007,17,0
U066,S06,1.693,173.785,20.572,10.768,0.409,13.3,2.545,0.682,12,0
U067,S06,1.526,185.395,21.558,9.632,0.333,16.125,4.675,0.641,15,1
U068,S06,1.671,178.011,21.778,11.958,0.365,16.979,6.472,0.396,11,1
U069,S06,1.62,178.599,22.611,12.092,0.35,15.969,4.314,0.681,14,1
U070,S06,1.765,178.686,24.003,10.596,0.377,14.9,4.593,0.768,16,1
U071,S06,1.642,170.387,11.952,10.757,0.439,11.665,3.956,1.031,13,0
U072,S06,1.579,189.69,22.227,9.442,0.302,15.953,1.61,0.545,12,0
U073,S07,1.796,186.88,12.156,10.298,0.372,12.617,3.808,0.837,15,0
U074,S07,1.759,191.281,20.93,10.376,0.462,16.065,4.46,0.527,11,1
U075,S07,1.624,193.271,16.593,11.328,0.367,15.46,5.172,0.221,16,1
U076,S07,1.559,194.168,23.582,9.991,0.381,13.13,4.08,1.007,10,1
U077,S07,1.727,196.156,21.302,12.033,0.401,15.93,5.248,0.224,13,1
U078,S07,1.615,175.031,17.928,10.698,0.338,11.951,2.173,0.479,15,0
U079,S07,1.705,175.371,12.733,11.218,0.444,12.338,3.422,1.02,15,0
U080,S07,1.777,209.338,22.53,10.673,0.343,17.161,5.805,0.246,10,1
U081,S07,1.528,199.525,23.665,10.493,0.316,13.794,5.635,0.606,16,1
U082,S07,1.563,188.125,12.582,11.662,0.296,14.948,5.43,0.668,15,1
U083,S07,1.681,186.583,21.369,11.687,0.338,15.614,4.695,1.014,12,1
U084,S07,1.591,193.844,19.957,10.833,0.375,14.096,4.2,0.612,16,1
U085,S08,1.641,187.328,30.073,10.784,0.402,14.886,4.038,0.474,15,1
U086,S08,1.767,185.179,20.64,9.387,0.342,12.645,2.309,0.607,10,0
U087,S08,1.615,181.516,22.285,11.105,0.395,14.689,3.051,0.618,12,0
U088,S08,1.669,177.847,24.804,10.362,0.442,12.937,3.276,1.046,12,0
U089,S08,1.636,187.992,22.815,10.419,0.441,13.289,3.38,0.501,11,0
U090,S08,1.573,202.57,21.48,11.027,0.364,14.691,5.645,0.665,15,1
U091,S08,1.651,181.175,17.605,10.276,0.465,15.932,2.915,0.331,14,0
U092,S08,1.514,175.014,15.831,9.088,0.361,11.282,3.005,1.042,15,0
U093,S08,1.543,198.947,16.562,11.534,0.39,14.942,5.083,0.627,13,1
U094,S08,1.678,190.939,27.197,10.961,0.329,15.415,5.537,0.229,12,1
U095,S08,1.86,186.041,20.426,10.044,0.489,12.375,2.718,0.62,10,0
U096,S08,1.657,193.536,22.561,11.214,0.391,15.339,5.288,0.415,13,1
U097,S09,1.798,198.136,24.077,9.856,0.444,15.173,3.9,0.692,10,0
U098,S09,1.539,194.61,24.611,10.87,0.353,14.285,5.518,0.239,14,1
U099,S09,1.908,188.102,18.875,9.934,0.443,14.029,2.153,0.633,16,0
U100,S09,1.43,212.228,23.974,9.864,0.417,14.345,4.085,0.694,15,1
U101,S09,1.668,213.089,28.303,11.064,0.397,16.115,6.709,0.566,11,1
U102,S09,1.618,213.213,20.778,11.241,0.389,15.227,5.084,0.685,17,1
U103,S09,1.565,187.93,20.62,9.194,0.38,14.537,3.251,0.418,14,0
U104,S09,1.72,201.681,27.276,10.99,0.349,12.432,3.752,0.666,14,0
U105,S09,1.797,190.185,22.454,9.326,0.386,13.425,3.461,0.558,16,0
U106,S09,1.647,202.62,21.931,9.98,0.387,12.641,2.351,0.654,11,0
U107,S09,1.367,205.093,23.498,10.613,0.328,16.657,5.368,0.263,10,1
U108,S09,1.645,189.93,22.55,10.273,0.395,13.796,4.048,0.482,16,1
U109,S10,1.648,206.431,20.159,10.428,0.483,14.408,5.132,0.32,10,1
U110,S10,1.612,203.702,25.268,11.305,0.366,15.105,4.501,0.729,14,1
U111,S10,1.734,208.966,24.026,10.671,0.365,13.911,4.441,0.691,10,1
U112,S10,1.452,206.377,20.355,11.077,0.388,16.336,4.473,0.639,10,1
U113,S10,1.684,214.262,26.037,10.067,0.392,13.591,6.673,0.666,14,1
U114,S10,1.638,204.937,29.373,9.992,0.345,13.479,4.038,1.091,15,1
U115,S10,1.626,213.097,14.501,10.687,0.503,13.271,2.847,0.673,12,0
U116,S10,1.543,205.72,22.441,10.979,0.466,13.796,4.618,0.989,10,1
