utterance_id,speaker_id,ethnicity,intent_label
utt_000,7,White,neutral
utt_001,4,Black,neutral
utt_002,13,White,trustworthy
utt_003,15,SouthAsian,trustworthy
utt_004,11,White,trustworthy
utt_005,8,Black,trustworthy
utt_006,13,White,neutral
utt_007,5,Black,neutral
utt_008,7,Black,trustworthy
utt_009,10,White,trustworthy
utt_010,3,SouthAsian,trustworthy
utt_011,7,SouthAsian,trustworthy
utt_012,11,SouthAsian,trustworthy
utt_013,11,SouthAsian,trustworthy
utt_014,8,Black,neutral
utt_015,5,SouthAsian,trustworthy
utt_016,4,White,trustworthy
utt_017,8,White,neutral
utt_018,8,White,trustworthy
utt_019,3,White,neutral
utt_020,6,White,neutral
utt_021,5,White,trustworthy
utt_022,2,SouthAsian,trustworthy
utt_023,8,White,trustworthy
utt_024,12,White,trustworthy
utt_025,14,Black,trustworthy
utt_026,6,White,trustworthy
utt_027,2,SouthAsian,trustworthy
utt_028,16,White,trustworthy
utt_029,12,SouthAsian,trustworthy
utt_030,5,SouthAsian,neutral
utt_031,1,White,trustworthy
utt_032,12,White,trustworthy
utt_033,10,SouthAsian,trustworthy
utt_034,6,SouthAsian,neutral
utt_035,13,SouthAsian,trustworthy
utt_036,12,SouthAsian,neutral
utt_037,9,White,neutral
utt_038,1,White,trustworthy
utt_039,11,White,neutral
utt_040,11,SouthAsian,trustworthy
utt_041,15,Black,trustworthy
utt_042,10,White,trustworthy
utt_043,16,White,trustworthy
utt_044,12,White,trustworthy
utt_045,12,White,neutral
utt_046,16,SouthAsian,trustworthy
utt_047,15,Black,trustworthy
utt_048,14,SouthAsian,trustworthy
utt_049,14,Black,trustworthy
utt_050,15,White,trustworthy
utt_051,14,SouthAsian,trustworthy
utt_052,3,SouthAsian,trustworthy
utt_053,12,Black,trustworthy
utt_054,7,SouthAsian,neutral
utt_055,4,Black,trustworthy
utt_056,16,Black,neutral
utt_057,9,Black,trustworthy
utt_058,3,White,neutral
utt_059,5,White,trustworthy
utt_060,3,White,trustworthy
utt_061,7,Black,trustworthy
utt_062,5,White,neutral
utt_063,9,Black,neutral
utt_064,7,SouthAsian,trustworthy
utt_065,2,White,trustworthy
utt_066,4,Black,neutral
utt_067,9,SouthAsian,neutral
utt_068,12,White,trustworthy
utt_069,14,White,trustworthy
utt_070,2,White,trustworthy
utt_071,10,White,neutral
utt_072,9,SouthAsian,neutral
utt_073,10,SouthAsian,neutral
utt_074,5,Black,trustworthy
utt_075,2,SouthAsian,trustworthy
utt_076,4,SouthAsian,neutral
utt_077,12,White,neutral
utt_078,15,SouthAsian,neutral
utt_079,12,Black,neutral
